B,Read Time (ns),Read Time / Number (ns)
1,11384,11384
2,8832,4416
3,9174,3058
4,8714,2178
5,8714,1742
6,8672,1445
7,8698,1242
8,8696,1087
9,12714,1412
10,8714,871
11,8534,775
12,8693,724
13,8687,668
14,8714,622
15,8678,578
16,8670,541
17,8565,503
18,8584,476
19,8553,450
20,8690,434
21,8669,412
22,8565,389
23,8674,377
24,9205,383
25,8688,347
26,8559,329
27,8577,317
28,8676,309
29,8570,295
30,8545,284
31,8713,281
32,8709,272
33,8702,263
34,8584,252
35,8568,244
36,8551,237
37,8550,231
38,8532,224
39,8689,222
40,8560,214
41,8578,209
42,8577,204
43,8576,199
44,8667,196
45,8554,190
46,8700,189
47,8688,184
48,8698,181
49,8696,177
50,8652,173
51,8557,167
52,8659,166
53,8672,163
54,8698,161
55,8573,155
56,8694,155
57,8578,150
58,8678,149
59,8715,147
60,8684,144
61,8673,142
62,8579,138
63,8545,135
64,8564,133
65,8546,131
66,8663,131
67,8542,127
68,8676,127
69,8563,124
70,8685,124
71,8565,120
72,8569,119
73,8545,117
74,8567,115
75,8687,115
76,9561,125
77,8705,113
78,8536,109
79,8675,109
80,8542,106
81,8678,107
82,8723,106
83,8699,104
84,8695,103
85,8564,100
86,8566,99
87,8698,99
88,8676,98
89,8697,97
90,8542,94
91,8663,95
92,8684,94
93,8547,91
94,8558,91
95,8682,91
96,8662,90
97,8711,89
98,8694,88
99,8697,87
100,8566,85
101,8567,84
102,8682,85
103,8550,83
104,8560,82
105,8677,82
106,8560,80
107,8574,80
108,8689,80
109,8546,78
110,8546,77
111,8591,77
112,8695,77
113,8713,77
114,8528,74
115,8570,74
116,8567,73
117,8699,74
118,8689,73
119,8561,71
120,8578,71
121,8538,70
122,8566,70
123,8565,69
124,8712,70
125,8538,68
126,11279,89
127,8532,67
128,8702,67
129,9182,71
130,8549,65
131,8687,66
132,8679,65
133,8708,65
134,8558,63
135,8570,63
136,8704,64
137,8559,62
138,8709,63
139,8549,61
140,8677,61
141,8704,61
142,8572,60
143,8537,59
144,8683,60
145,8543,58
146,8690,59
147,8583,58
148,8686,58
149,8569,57
150,8719,58
151,8669,57
152,8543,56
153,8577,56
154,8687,56
155,8686,56
156,8916,57
157,8548,54
158,8589,54
159,8684,54
160,8666,54
161,8539,53
162,8707,53
163,8707,53
164,8672,52
165,8712,52
166,8689,52
167,8705,52
168,8705,51
169,8542,50
170,12959,76
171,8550,50
172,8724,50
173,8685,50
174,9201,52
175,8544,48
176,8545,48
177,8672,48
178,8698,48
179,8702,48
180,8716,48
181,8537,47
182,8577,47
183,8696,47
184,8546,46
185,8571,46
186,8559,46
187,8575,45
188,8694,46
189,8572,45
190,8555,45
191,8674,45
192,8723,45
193,8699,45
194,8695,44
195,8561,43
196,8540,43
197,8570,43
198,8691,43
199,9202,46
200,8718,43
201,8578,42
202,8695,43
203,8579,42
204,8571,42
205,8581,41
206,8564,41
207,8669,41
208,9226,44
209,8577,41
210,9198,43
211,8567,40
212,8569,40
213,9213,43
214,8705,40
215,8691,40
216,8722,40
217,8574,39
218,8673,39
219,8657,39
220,8546,38
221,8542,38
222,8864,39
223,8569,38
224,8541,38
225,8716,38
226,9201,40
227,8553,37
228,8682,38
229,8683,37
230,8548,37
231,8688,37
232,8588,37
233,8585,36
234,8560,36
235,8660,36
236,8685,36
237,9172,38
238,9164,38
239,8676,36
240,8724,36
241,8704,36
242,8711,35
243,8580,35
244,8680,35
245,8692,35
246,8702,35
247,9223,37
248,8562,34
249,9242,37
250,8725,34
251,8705,34
252,8565,33
253,8690,34
254,8548,33
255,8686,34
256,8569,33
257,8562,33
258,8555,33
259,8538,32
260,8582,33
261,8680,33
262,9264,35
263,9163,34
264,8571,32
265,8707,32
266,8568,32
267,8689,32
268,8681,32
269,8571,31
270,8577,31
271,8708,32
272,8698,31
273,8683,31
274,8723,31
275,8577,31
276,8570,31
277,8580,30
278,8540,30
279,8575,30
280,8698,31
281,8547,30
282,8573,30
283,8701,30
284,8575,30
285,8716,30
286,8555,29
287,8689,30
288,8700,30
289,8584,29
290,8563,29
291,8675,29
292,8691,29
293,8714,29
294,8704,29
295,8568,29
296,8693,29
297,8563,28
298,8727,29
299,8586,28
300,8676,28
301,8722,28
302,8682,28
303,8550,28
304,8572,28
305,8683,28
306,8707,28
307,8699,28
308,8555,27
309,8543,27
310,8542,27
311,8567,27
312,8564,27
313,8542,27
314,8564,27
315,8565,27
316,8561,27
317,8699,27
318,8711,27
319,8697,27
320,8560,26
321,8579,26
322,8687,26
323,8673,26
324,8577,26
325,8591,26
326,8558,26
327,8584,26
328,10490,31
329,8672,26
330,8551,25
331,8698,26
332,8706,26
333,8539,25
334,8574,25
335,8570,25
336,8728,25
337,8692,25
338,8714,25
339,8584,25
340,8666,25
341,8687,25
342,8708,25
343,8717,25
344,8708,25
345,8710,25
346,8570,24
347,8542,24
348,8721,25
349,8676,24
350,8695,24
351,8548,24
352,8687,24
353,8723,24
354,8707,24
355,8565,24
356,8709,24
357,8711,24
358,8732,24
359,8713,24
360,8546,23
361,8563,23
362,8556,23
363,8559,23
364,8714,23
365,8702,23
366,8567,23
367,8575,23
368,8710,23
369,8731,23
370,8706,23
371,8680,23
372,8710,23
373,8562,22
374,8541,22
375,8691,23
376,8590,22
377,8735,23
378,8552,22
379,8569,22
380,8691,22
381,8569,22
382,8708,22
383,10006,26
384,8690,22
385,8695,22
386,8708,22
387,8672,22
388,8546,22
389,8556,21
390,8548,21
391,8728,22
392,8707,22
393,8695,22
394,8674,22
395,8671,21
396,8566,21
397,8662,21
398,8689,21
399,8569,21
400,8569,21
401,8569,21
402,8698,21
403,8702,21
404,8553,21
405,8555,21
406,8722,21
407,8714,21
408,8696,21
409,8702,21
410,8687,21
411,9191,22
412,8538,20
413,8706,21
414,8716,21
415,8539,20
416,8707,20
417,8708,20
418,8665,20
419,8567,20
420,9208,21
421,8688,20
422,8684,20
423,8583,20
424,8574,20
425,8688,20
426,8546,20
427,8682,20
428,8571,20
429,8565,19
430,8722,20
431,8688,20
432,8677,20
433,8547,19
434,8667,19
435,12459,28
436,8566,19
437,8548,19
438,8701,19
439,8716,19
440,8668,19
441,8689,19
442,8701,19
443,8564,19
444,8725,19
445,8572,19
446,8681,19
447,8542,19
448,8568,19
449,8568,19
450,8552,19
451,8568,18
452,8684,19
453,8683,19
454,8714,19
455,8710,19
456,8692,19
457,12724,27
458,8694,18
459,8698,18
460,8559,18
461,12628,27
462,8555,18
463,13196,28
464,8543,18
465,8680,18
466,8736,18
467,8720,18
468,8551,18
469,8583,18
470,8699,18
471,12802,27
472,9174,19
473,12649,26
474,8560,18
475,8672,18
476,8553,17
477,8576,17
478,8566,17
479,8568,17
480,8559,17
481,8715,18
482,8572,17
483,8561,17
484,8696,17
485,8723,17
486,8674,17
487,8578,17
488,8556,17
489,8698,17
490,8559,17
491,8554,17
492,8707,17
493,8587,17
494,8546,17
495,8683,17
496,8587,17
497,8590,17
498,9210,18
499,8915,17
500,8988,17
501,8566,17
502,8586,17
503,8557,17
504,8684,17
505,8687,17
506,8730,17
507,8734,17
508,8691,17
509,8710,17
510,8698,17
511,8689,17
512,8693,16
513,8662,16
514,8684,16
515,8597,16
516,8571,16
517,8697,16
518,8559,16
519,8699,16
520,8697,16
521,8711,16
522,8666,16
523,8537,16
524,8659,16
525,8717,16
526,8552,16
527,8552,16
528,8708,16
529,8533,16
530,8692,16
531,8700,16
532,9168,17
533,8675,16
534,8670,16
535,8690,16
536,8546,15
537,8557,15
538,8579,15
539,8696,16
540,9190,17
541,8675,16
542,8711,16
543,8684,15
544,8548,15
545,8708,15
546,8555,15
547,8592,15
548,8568,15
549,8718,15
550,8717,15
551,8724,15
552,11461,20
553,8550,15
554,8698,15
555,8555,15
556,8686,15
557,8586,15
558,8562,15
559,8668,15
560,8558,15
561,8712,15
562,8562,15
563,8573,15
564,8552,15
565,8560,15
566,8581,15
567,8692,15
568,8685,15
569,8567,15
570,8582,15
571,8679,15
572,8561,14
573,8710,15
574,8677,15
575,8707,15
576,8699,15
577,8696,15
578,8687,15
579,8720,15
580,8710,15
581,8563,14
582,8585,14
583,8693,14
584,8666,14
585,8581,14
586,8684,14
587,8580,14
588,12084,20
589,8711,14
590,8552,14
591,8556,14
592,8556,14
593,8580,14
594,8581,14
595,9281,15
596,8568,14
597,8694,14
598,8681,14
599,8706,14
600,8586,14
601,8669,14
602,8549,14
603,8722,14
604,8693,14
605,8693,14
606,8543,14
607,8698,14
608,8572,14
609,8698,14
610,8720,14
611,8541,13
612,8696,14
613,8713,14
614,8685,14
615,8536,13
616,9192,14
617,8700,14
618,8577,13
619,8684,14
620,8665,13
621,8580,13
622,8709,14
623,8686,13
624,8719,13
625,8573,13
626,8572,13
627,8681,13
628,8728,13
629,8557,13
630,8550,13
631,8683,13
632,8686,13
633,8544,13
634,8554,13
635,8559,13
636,8568,13
637,8587,13
638,8700,13
639,8563,13
640,8690,13
641,8564,13
642,12654,19
643,8680,13
644,9236,14
645,9165,14
646,8703,13
647,8673,13
648,8541,13
649,8547,13
650,8559,13
651,8705,13
652,8705,13
653,8578,13
654,8721,13
655,8560,13
656,8709,13
657,9294,14
658,9223,14
659,8619,13
660,9183,13
661,8666,13
662,8575,12
663,8684,13
664,8715,13
665,8570,12
666,8665,13
667,8698,13
668,8680,12
669,8684,12
670,8695,12
671,8675,12
672,9188,13
673,9162,13
674,8694,12
675,8716,12
676,8686,12
677,8703,12
678,8562,12
679,8562,12
680,8696,12
681,8696,12
682,8689,12
683,8674,12
684,11651,17
685,8548,12
686,8837,12
687,8669,12
688,8696,12
689,8575,12
690,8674,12
691,8690,12
692,8564,12
693,8711,12
694,8579,12
695,8565,12
696,9269,13
697,9225,13
698,9195,13
699,8682,12
700,8677,12
701,8723,12
702,8671,12
703,8692,12
704,8583,12
705,8712,12
706,8695,12
707,8674,12
708,8565,12
709,8562,12
710,8586,12
711,8693,12
712,8576,12
713,8557,12
714,8578,12
715,8689,12
716,8691,12
717,8701,12
718,8561,11
719,8693,12
720,8683,12
721,8535,11
722,8575,11
723,8569,11
724,8718,12
725,8670,11
726,8565,11
727,8693,11
728,8545,11
729,8563,11
730,8655,11
731,8561,11
732,8701,11
733,8553,11
734,8702,11
735,8569,11
736,8562,11
737,8583,11
738,8557,11
739,8679,11
740,8724,11
741,8573,11
742,8548,11
743,8704,11
744,8695,11
745,8574,11
746,8547,11
747,8579,11
748,8684,11
749,8711,11
750,8693,11
751,8723,11
752,8577,11
753,8715,11
754,8537,11
755,8707,11
756,8685,11
757,8724,11
758,8715,11
759,8553,11
760,8713,11
761,8695,11
762,8744,11
763,8562,11
764,8586,11
765,8708,11
766,8682,11
767,8580,11
768,8663,11
769,8682,11
770,8558,11
771,8688,11
772,8701,11
773,8553,11
774,8572,11
775,8565,11
776,8591,11
777,8565,11
778,8669,11
779,8595,11
780,8700,11
781,8715,11
782,8685,11
783,8561,10
784,8556,10
785,8671,11
786,8596,10
787,8566,10
788,8563,10
789,8689,11
790,8708,11
791,8573,10
792,8703,10
793,8693,10
794,8680,10
795,8724,10
796,8685,10
797,8676,10
798,8708,10
799,9177,11
800,9263,11
801,8732,10
802,8730,10
803,8685,10
804,8684,10
805,8577,10
806,8711,10
807,8560,10
808,8560,10
809,8569,10
810,8557,10
811,8695,10
812,8695,10
813,9168,11
814,8659,10
815,8565,10
816,8693,10
817,8719,10
818,8691,10
819,8571,10
820,8706,10
821,8588,10
822,8989,10
823,8547,10
824,9240,11
825,8575,10
826,13984,16
827,8721,10
828,8584,10
829,8568,10
830,8704,10
831,8692,10
832,8564,10
833,8689,10
834,8695,10
835,8690,10
836,8704,10
837,8565,10
838,8547,10
839,9080,10
840,8682,10
841,8702,10
842,8588,10
843,8572,10
844,8592,10
845,8710,10
846,8687,10
847,8712,10
848,8553,10
849,8575,10
850,8678,10
851,8667,10
852,8536,10
853,8706,10
854,8740,10
855,8594,10
856,8724,10
857,8662,10
858,8548,9
859,8681,10
860,8567,9
861,9306,10
862,8694,10
863,8730,10
864,8691,10
865,8688,10
866,8690,10
867,8701,10
868,8697,10
869,8564,9
870,8559,9
871,8694,9
872,8696,9
873,8679,9
874,8564,9
875,8556,9
876,8710,9
877,8782,10
878,8697,9
879,8676,9
880,8595,9
881,8583,9
882,8701,9
883,8699,9
884,8675,9
885,8702,9
886,9162,10
887,9290,10
888,8924,10
889,8560,9
890,8708,9
891,8721,9
892,8681,9
893,8542,9
894,8739,9
895,9270,10
896,9215,10
897,8589,9
898,8708,9
899,8665,9
900,8708,9
901,8593,9
902,8697,9
903,8585,9
904,8699,9
905,8568,9
906,8696,9
907,8572,9
908,8557,9
909,8684,9
910,8682,9
911,8721,9
912,8542,9
913,8540,9
914,8584,9
915,8687,9
916,8566,9
917,8705,9
918,8578,9
919,8569,9
920,8583,9
921,8680,9
922,8701,9
923,8725,9
924,8674,9
925,8586,9
926,8586,9
927,8698,9
928,8552,9
929,8574,9
930,8715,9
931,8583,9
932,8697,9
933,8580,9
934,8690,9
935,8699,9
936,8572,9
937,8590,9
938,8721,9
939,8725,9
940,9115,9
941,10811,11
942,8698,9
943,8685,9
944,8670,9
945,8690,9
946,8549,9
947,8689,9
948,8703,9
949,9186,9
950,9191,9
951,9239,9
952,8572,9
953,8558,8
954,8683,9
955,8697,9
956,8714,9
957,8702,9
958,8685,9
959,8714,9
960,8698,9
961,8710,9
962,8578,8
963,8559,8
964,8677,9
965,8710,9
966,8662,8
967,8690,8
968,8575,8
969,8570,8
970,8568,8
971,8691,8
972,8554,8
973,8581,8
974,8695,8
975,8722,8
976,8569,8
977,8533,8
978,8711,8
979,8687,8
980,8724,8
981,8684,8
982,8581,8
983,8547,8
984,8592,8
985,8679,8
986,8702,8
987,8723,8
988,8728,8
989,8546,8
990,8566,8
991,8675,8
992,8710,8
993,8747,8
994,8713,8
995,8713,8
996,8575,8
997,8578,8
998,8568,8
999,8695,8
1000,8724,8
1001,8676,8
1002,8707,8
1003,8543,8
1004,8554,8
1005,8550,8
1006,8563,8
1007,8675,8
1008,8547,8
1009,10557,10
1010,10836,10
1011,10486,10
1012,10478,10
1013,10511,10
1014,10675,10
1015,10677,10
1016,10376,10
1017,10538,10
1018,10479,10
1019,10703,10
1020,10623,10
1021,10539,10
1022,10444,10
1023,10751,10
1024,10500,10
1025,8810,8
1026,8726,8
1027,8713,8
1028,8716,8
1029,8571,8
1030,8612,8
1031,8599,8
1032,8694,8
1033,8575,8
1034,8703,8
1035,8675,8
1036,8746,8
1037,8743,8
1038,8595,8
1039,8710,8
1040,8743,8
1041,8729,8
1042,8585,8
1043,8596,8
1044,8804,8
1045,8758,8
1046,8604,8
1047,8624,8
1048,8613,8
1049,8571,8
1050,8736,8
1051,8724,8
1052,8671,8
1053,8724,8
1054,8568,8
1055,8794,8
1056,8610,8
1057,8747,8
1058,8565,8
1059,8612,8
1060,8701,8
1061,8663,8
1062,8587,8
1063,8648,8
1064,8584,8
1065,8737,8
1066,8797,8
1067,8596,8
1068,8742,8
1069,8619,8
1070,8575,8
1071,8597,8
1072,8706,8
1073,8576,7
1074,8601,8
1075,8628,8
1076,8785,8
1077,8757,8
1078,8707,8
1079,8595,7
1080,8551,7
1081,8750,8
1082,8598,7
1083,8629,7
