KB,Read Time (ns),Read Time / Number (ns)
1,10506,10506
2,10601,5300
3,10766,3588
4,15392,3848
5,12310,2462
6,15923,2653
7,12243,1749
8,12121,1515
9,13721,1524
10,13687,1368
11,13916,1265
12,13778,1148
13,15810,1216
14,14741,1052
15,14995,999
16,15033,939
17,16956,997
18,16219,901
19,16715,879
20,17898,894
21,18043,859
22,18764,852
23,18689,812
24,23107,962
25,20693,827
26,19158,736
27,19950,738
28,20670,738
29,30323,1045
30,21020,700
31,21003,677
32,21694,677
33,24412,739
34,23344,686
35,23932,683
36,23395,649
37,25774,696
38,24508,644
39,25292,648
40,24875,621
41,26324,642
42,26737,636
43,27181,632
44,35250,801
45,26789,595
46,29715,645
47,29853,635
48,26927,560
49,29027,592
50,28551,571
51,30556,599
52,29909,575
53,33315,628
54,31481,582
55,32600,592
56,33288,594
57,32545,570
58,31791,548
59,32015,542
60,32432,540
61,37957,622
62,35830,577
63,34112,541
64,36984,577
65,36725,565
66,34256,519
67,36320,542
68,33081,486
69,39801,576
70,38383,548
71,42007,591
72,38586,535
73,48279,661
74,39970,540
75,39121,521
76,38957,512
77,44139,573
78,41917,537
79,44114,558
80,41028,512
81,51112,631
82,44811,546
83,41713,502
84,45700,544
85,51120,601
86,44706,519
87,47889,550
88,46533,528
89,41452,465
90,48286,536
91,43570,478
92,44327,481
93,54326,584
94,60371,642
95,47048,495
96,51722,538
97,48890,504
98,65809,671
99,43854,442
100,46999,469
101,51465,509
102,51050,500
103,50160,486
104,54969,528
105,56148,534
106,48756,459
107,54332,507
108,57768,534
109,56073,514
110,65833,598
111,62602,563
112,56145,501
113,57089,505
114,58728,515
115,61572,535
116,58164,501
117,73598,629
118,90676,768
119,58119,488
120,57699,480
121,65069,537
122,84532,692
123,101038,821
124,78155,630
125,62477,499
126,58291,462
127,66598,524
128,70242,548
129,66178,513
130,70461,542
131,63045,481
132,72438,548
133,66138,497
134,66633,497
135,62667,464
136,67529,496
137,80953,590
138,66318,480
139,67963,488
140,67113,479
141,77079,546
142,76382,537
143,77668,543
144,66846,464
145,79623,549
146,70920,485
147,73119,497
148,69979,472
149,80320,539
150,70498,469
151,68149,451
152,74602,490
153,69685,455
154,70520,457
155,71408,460
156,71700,459
157,92494,589
158,74100,468
159,72986,459
160,79028,493
161,87202,541
162,73743,455
163,85024,521
164,75663,461
165,82268,498
166,82405,496
167,74460,445
168,75788,451
169,81473,482
170,91737,539
171,96984,567
172,84435,490
173,78652,454
174,88830,510
175,93113,532
176,82678,469
177,95044,536
178,95916,538
179,84357,471
180,85089,472
181,88488,488
182,89617,492
183,88440,483
184,82977,450
185,85812,463
186,83263,447
187,87039,465
188,85274,453
189,122228,646
190,88374,465
191,100224,524
192,86984,453
193,93291,483
194,86039,443
195,95313,488
196,93707,478
197,95118,482
198,95144,480
199,95037,477
200,96084,480
201,96911,482
202,94879,469
203,103333,509
204,99420,487
205,106224,518
206,89832,436
207,101165,488
208,101228,486
209,102302,489
210,97751,465
211,97911,464
212,100660,474
213,100717,472
214,98071,458
215,111140,516
216,109652,507
217,109960,506
218,131853,604
219,96545,440
220,106714,485
221,101325,458
222,111133,500
223,99637,446
224,97443,435
225,111255,494
226,107427,475
227,121513,535
228,102534,449
229,110255,481
230,116059,504
231,116334,503
232,100051,431
233,112923,484
234,142406,608
235,99708,424
236,113329,480
237,111928,472
238,116193,488
239,115421,482
240,110392,459
241,106559,442
242,114451,472
243,113554,467
244,108832,446
245,123504,504
246,106804,434
247,116378,471
248,104733,422
249,113816,457
250,104826,419
251,127298,507
252,122295,485
253,116001,458
254,123760,487
255,131472,515
256,129024,504
257,127609,496
258,122446,474
259,119276,460
260,111662,429
261,112456,430
262,146942,560
263,134955,513
264,123676,468
265,134142,506
266,130094,489
267,110133,412
268,121498,453
269,146968,546
