MB,Read Time (ns),Read Time / Number (ns)
1,457395,457395
2,894211,447105
3,1525859,508619
4,1946051,486512
5,2001839,400367
6,1839983,306663
7,1790528,255789
8,1769733,221216
9,2053630,228181
10,1960983,196098
11,1794820,163165
12,1904435,158702
13,1813555,139504
14,1766997,126214
15,1763749,117583
16,1801864,112616
17,1806553,106267
18,1785416,99189
19,1764429,92864
20,1798958,89947
21,1743456,83021
22,1819854,82720
23,1768312,76883
24,1781637,74234
25,1754235,70169
26,1765082,67887
27,2094272,77565
28,1952516,69732
29,1829043,63070
30,1790657,59688
31,1942581,62663
32,1828111,57128
33,1882661,57050
34,2077170,61093
35,1883465,53813
36,1777980,49388
37,1890442,51093
38,1834105,48265
39,1765248,45262
40,1727077,43176
41,1928659,47040
42,1858710,44255
43,1926717,44807
44,1868623,42468
45,1800379,40008
46,1866361,40573
47,1816807,38655
48,1881790,39203
49,1759758,35913
50,1757783,35155
51,1813769,35564
52,1805736,34725
53,1816139,34266
54,1832490,33935
55,1755184,31912
56,1918307,34255
57,1802947,31630
58,1889452,32576
59,1830195,31020
60,1892430,31540
61,1963676,32191
62,1769859,28546
63,1841267,29226
64,1855871,28997
65,1798879,27675
66,2137314,32383
67,2028809,30280
68,1762448,25918
69,1880641,27255
70,1812779,25896
71,1944471,27386
72,1817610,25244
73,1833078,25110
74,1974564,26683
75,1837101,24494
76,1752844,23063
77,1829031,23753
78,1879141,24091
79,1850415,23422
80,1830676,22883
81,1821498,22487
82,1856037,22634
83,1867218,22496
84,1913809,22783
85,1816718,21373
86,1769364,20574
87,1875746,21560
88,1920144,21819
89,1797238,20193
90,1808977,20099
91,1829516,20104
92,1851043,20120
93,1793811,19288
94,1791794,19061
95,1787407,18814
96,1923848,20040
97,1858800,19162
98,1802023,18387
99,1873947,18928
100,1813558,18135
101,1798264,17804
102,1796288,17610
103,1824440,17713
104,1895910,18229
105,1860619,17720
106,1835638,17317
107,1865449,17434
108,1787051,16546
109,1900493,17435
110,1833215,16665
111,3070565,27662
112,1802122,16090
113,1838967,16274
114,2036903,17867
115,1882746,16371
116,1904414,16417
117,1988207,16993
118,1860474,15766
119,1844153,15497
120,1939357,16161
121,1836492,15177
122,1838775,15071
123,1797291,14612
124,1842498,14858
125,1912053,15296
126,1879285,14914
127,1860322,14648
128,1955635,15278
129,1926982,14937
130,2016871,15514
131,1862865,14220
132,1827018,13841
133,1892604,14230
134,1988389,14838
135,2006478,14862
136,1898854,13962
137,1981106,14460
138,1899161,13762
139,1852607,13328
140,1931854,13798
141,1882729,13352
142,1891501,13320
143,1904423,13317
144,1977821,13734
145,1942033,13393
146,1880689,12881
147,1898491,12914
148,1873777,12660
149,1843000,12369
150,1827437,12182
151,1818051,12040
152,1925905,12670
153,1952612,12762
154,1992080,12935
155,1865314,12034
156,1932757,12389
157,1799244,11460
158,1869320,11831
159,1971592,12399
160,1874178,11713
161,1903986,11826
162,1890819,11671
163,1868048,11460
164,1891794,11535
165,2022737,12259
166,1943653,11708
167,1858327,11127
168,1865227,11102
169,2141397,12670
170,1880858,11063
171,1870986,10941
172,1908073,11093
173,1839725,10634
174,1986665,11417
175,1936042,11063
176,1889855,10737
177,1899655,10732
178,2030320,11406
179,2022219,11297
180,1924336,10690
181,1976600,10920
182,1884219,10352
183,1913309,10455
184,1941606,10552
185,1963126,10611
186,1885412,10136
187,1907100,10198
188,1976840,10515
189,1863243,9858
190,1911510,10060
191,1989603,10416
192,1851216,9641
193,1844419,9556
194,1873582,9657
195,1859688,9536
196,1913861,9764
197,1825696,9267
198,1867353,9431
199,1869682,9395
200,1874610,9373
201,2066266,10279
202,1911337,9462
203,1912918,9423
204,1854689,9091
205,1874175,9142
206,1918189,9311
207,1937048,9357
208,1869668,8988
209,1954068,9349
210,1887179,8986
211,1956890,9274
212,1876265,8850
213,1882166,8836
214,1952510,9123
215,1867660,8686
216,1914383,8862
217,1935843,8920
218,1853573,8502
219,1861603,8500
220,1980672,9003
221,1889573,8550
222,1971259,8879
223,1932338,8665
224,1974646,8815
225,1971336,8761
226,1961414,8678
227,1925827,8483
228,1918320,8413
229,1987835,8680
230,1919762,8346
231,1911960,8276
232,1952210,8414
233,1933981,8300
234,1973481,8433
235,1860299,7916
236,1879671,7964
237,1889003,7970
238,1933088,8122
239,1912657,8002
240,1900949,7920
241,1972941,8186
242,2031736,8395
243,1887718,7768
244,1933949,7926
245,1906191,7780
246,1972826,8019
247,1968962,7971
248,1934307,7799
249,1920563,7713
250,1936588,7746
251,1910947,7613
252,1941156,7703
253,1958605,7741
254,1941491,7643
255,1873298,7346
256,1989440,7771
257,1986959,7731
258,1906418,7389
259,1908834,7370
260,1924425,7401
261,1897058,7268
262,1979223,7554
263,1889484,7184
264,1926403,7296
265,1941541,7326
266,1885243,7087
267,1928918,7224
268,1958839,7309
269,1957276,7276
270,1908096,7067
271,2660405,9816
272,1909333,7019
273,1896759,6947
274,1946174,7102
275,1929034,7014
276,1928707,6988
277,1884269,6802
278,2034845,7319
279,1930670,6919
280,1974112,7050
281,1914134,6811
282,1955802,6935
283,1906049,6735
284,2058086,7246
285,1937063,6796
286,1952203,6825
287,1894159,6599
288,1866678,6481
289,1967229,6807
290,1908128,6579
291,1923260,6609
292,1893421,6484
293,1901517,6489
294,1998452,6797
295,1963613,6656
296,1950823,6590
297,1906392,6418
298,1945270,6527
299,2189928,7324
300,1971649,6572
301,1980793,6580
302,1954662,6472
303,1952302,6443
304,1912076,6289
305,1968253,6453
306,1930176,6307
307,1932577,6295
308,1942038,6305
309,2025748,6555
310,1894143,6110
311,1980190,6367
312,1980853,6348
313,2010813,6424
314,1887000,6009
315,1979130,6282
316,1961731,6208
317,1963940,6195
318,1915547,6023
319,1952855,6121
320,2037223,6366
321,1908088,5944
322,1943940,6037
323,1907853,5906
324,2061242,6361
325,1897872,5839
326,1951793,5987
327,2058192,6294
328,1937145,5905
329,1980736,6020
330,2022958,6130
331,1957679,5914
332,1910304,5753
333,1982999,5954
334,1942245,5815
335,1945165,5806
336,1916477,5703
337,1931927,5732
338,1885930,5579
339,1916220,5652
340,1952613,5742
341,1934863,5674
342,1900405,5556
343,1917969,5591
344,1910152,5552
345,1921823,5570
346,1934489,5591
347,1928269,5556
348,2028641,5829
349,1948199,5582
350,1971383,5632
351,1928260,5493
352,2010650,5712
353,1959162,5550
354,1956613,5527
355,1988658,5601
356,1940961,5452
357,1899937,5321
358,1981543,5535
359,1954347,5443
360,2001840,5560
361,1995943,5528
362,1909167,5273
363,1944500,5356
364,1969156,5409
365,1990817,5454
366,2128305,5815
367,1970406,5368
368,2019230,5487
369,1982894,5373
370,1983143,5359
371,1912129,5153
372,1950103,5242
373,1996236,5351
374,1911583,5111
375,1985602,5294
376,2001356,5322
377,1914047,5077
378,1893410,5009
379,1963911,5181
380,1931651,5083
381,1914900,5025
382,2262776,5923
383,1933804,5049
384,1938417,5047
385,2006417,5211
386,1922721,4981
387,1982506,5122
388,2068037,5329
389,1908665,4906
390,1927699,4942
391,1996836,5106
392,1968352,5021
393,2046772,5208
394,2060557,5229
395,1968081,4982
396,1948053,4919
397,1925056,4849
398,1953901,4909
399,2023866,5072
400,2025257,5063
401,1976852,4929
402,1948612,4847
403,1904591,4726
404,1931883,4781
405,1910738,4717
406,1953540,4811
407,1998515,4910
408,1937445,4748
409,1957063,4784
410,1958334,4776
411,1945611,4733
412,2037975,4946
413,1957695,4740
414,2006608,4846
415,1994908,4807
416,2024377,4866
417,1968634,4720
418,1976146,4727
419,1943592,4638
420,2009875,4785
421,1985246,4715
422,1939111,4595
423,1938440,4582
424,1939187,4573
425,1972561,4641
426,1966010,4615
427,2030454,4755
428,1972258,4608
429,2034232,4741
430,2027172,4714
431,2026855,4702
432,1968560,4556
433,1967791,4544
434,1959724,4515
435,1951582,4486
436,1952093,4477
437,2082958,4766
438,1987403,4537
439,1996118,4546
440,2005189,4557
441,1976090,4480
442,2031227,4595
443,2072940,4679
444,2007032,4520
445,1959012,4402
446,1998267,4480
447,1995397,4463
448,2027781,4526
449,2040322,4544
450,2008017,4462
451,2177827,4828
452,2008589,4443
453,2029674,4480
454,2034098,4480
455,1992205,4378
456,1994909,4374
457,2797508,6121
458,2042616,4459
459,1979309,4312
460,2009701,4368
461,2043627,4433
462,1931855,4181
463,2031121,4386
464,2124894,4579
465,2009880,4322
466,2035537,4368
467,2044160,4377
468,1955317,4178
469,2059282,4390
470,1990288,4234
471,1990515,4226
472,2042154,4326
473,1993957,4215
474,1955390,4125
475,2054226,4324
476,1990357,4181
477,2034196,4264
478,1981519,4145
479,1999118,4173
480,1992336,4150
481,2063019,4289
482,2004673,4159
483,2065856,4277
484,2059565,4255
485,1968701,4059
486,1998636,4112
487,2025545,4159
488,1996077,4090
489,1968697,4025
490,2066396,4217
491,2190945,4462
492,2046446,4159
493,2018300,4093
494,1968708,3985
495,1994060,4028
496,2214934,4465
497,2000505,4025
498,2000994,4018
499,2002020,4012
500,2029435,4058
501,2029604,4051
502,2047621,4078
503,2013291,4002
504,1995953,3960
505,1998343,3957
506,1972369,3897
507,2017356,3979
508,2046310,4028
509,2094561,4115
510,1992393,3906
511,2021766,3956
512,2177938,4253
513,1987657,3874
514,2010942,3912
515,1985628,3855
516,2099674,4069
517,1980597,3830
518,2048810,3955
519,2034180,3919
520,2007550,3860
521,2016450,3870
522,2010830,3852
523,1968145,3763
524,1994346,3806
525,2017637,3843
526,2007573,3816
527,2116015,4015
528,2065712,3912
529,2011246,3801
530,2020819,3812
531,2042746,3846
532,2034851,3824
533,2006332,3764
534,2064097,3865
535,2017690,3771
536,2010689,3751
537,2031866,3783
538,1996759,3711
539,2161843,4010
540,2087857,3866
541,1982018,3663
542,2045232,3773
543,2098824,3865
544,2188324,4022
545,3067007,5627
546,2007150,3676
547,1987424,3633
548,2101503,3834
549,1994949,3633
550,2028125,3687
551,2067032,3751
552,2056782,3726
553,2005669,3626
554,2059414,3717
555,2104327,3791
556,2014542,3623
557,2041189,3664
558,2072929,3714
559,2029498,3630
560,2120366,3786
561,2052461,3658
562,2099191,3735
563,1992027,3538
564,2018384,3578
565,1988431,3519
566,2012605,3555
567,2111892,3724
568,2010181,3539
569,2031499,3570
570,2072215,3635
571,2057222,3602
572,2015308,3523
573,2057030,3589
574,2136377,3721
575,2066552,3594
576,2039660,3541
577,1970807,3415
578,2072541,3585
579,1988170,3433
580,2084074,3593
581,2049288,3527
582,1994066,3426
583,2061444,3535
584,2050164,3510
585,2037280,3482
586,2091096,3568
587,2047954,3488
588,2057950,3499
589,2022852,3434
590,2004295,3397
591,2132835,3608
592,2033662,3435
593,2018684,3404
594,2012887,3388
595,2041456,3431
596,2020108,3389
597,2041083,3418
598,2002777,3349
599,2064312,3446
600,2071767,3452
601,2025458,3370
602,2083373,3460
603,1995692,3309
604,2196247,3636
605,1996236,3299
606,1994850,3291
607,2005574,3304
608,2040256,3355
609,2020203,3317
610,2020272,3311
611,2085564,3413
612,2043542,3339
613,2044858,3335
614,2037083,3317
615,2096289,3408
616,2028459,3292
617,2062355,3342
618,2039743,3300
619,2050045,3311
620,2021937,3261
621,2112723,3402
622,1975308,3175
623,2003440,3215
624,2048042,3282
625,2018334,3229
626,2032951,3247
627,2036895,3248
628,2029951,3232
629,2154377,3425
630,2056195,3263
631,2071764,3283
632,2042111,3231
633,2042968,3227
634,2060683,3250
635,2028916,3195
636,2056315,3233
637,2070811,3250
638,2097339,3287
639,2063283,3228
640,2094526,3272
641,2020916,3152
642,2058764,3206
643,2021669,3144
644,2008039,3118
645,2031233,3149
646,2064008,3195
647,2056514,3178
648,2103580,3246
649,1995756,3075
650,2059067,3167
651,2081733,3197
652,1997075,3062
653,2041253,3125
654,2044209,3125
655,2040949,3115
656,2027017,3089
657,2018590,3072
658,2026235,3079
659,2028640,3078
660,2034439,3082
661,2077037,3142
662,2039537,3080
663,2093522,3157
664,2010666,3028
665,2031699,3055
666,2035360,3056
667,2073055,3108
668,2070093,3098
669,2048056,3061
670,2059683,3074
671,2090923,3116
672,2053269,3055
673,2085774,3099
674,2104319,3122
675,2039935,3022
676,2081019,3078
677,2068310,3055
