B,Read Time (ns),Read Time / Number (ns)
1,148,148
2,155,77
3,156,52
4,165,41
5,152,30
6,149,24
7,161,23
8,164,20
9,353,39
10,168,16
11,166,15
12,190,15
13,190,14
14,179,12
15,174,11
16,183,11
17,184,10
18,187,10
19,192,10
20,205,10
21,188,8
22,193,8
23,212,9
24,212,8
25,201,8
26,208,8
27,227,8
28,229,8
29,204,7
30,219,7
31,260,8
32,226,7
33,225,6
34,228,6
35,231,6
36,243,6
37,234,6
38,234,6
39,231,5
40,267,6
41,268,6
42,231,5
43,291,6
44,232,5
45,236,5
46,247,5
47,253,5
48,266,5
49,274,5
50,263,5
51,267,5
52,295,5
53,273,5
54,267,4
55,278,5
56,274,4
57,275,4
58,309,5
59,294,4
60,283,4
61,284,4
62,284,4
63,285,4
64,292,4
65,282,4
66,297,4
67,299,4
68,309,4
69,293,4
70,316,4
71,314,4
72,336,4
73,307,4
74,303,4
75,324,4
76,318,4
77,320,4
78,331,4
79,316,4
80,350,4
81,346,4
82,317,3
83,321,3
84,347,4
85,363,4
86,354,4
87,358,4
88,346,3
89,339,3
90,349,3
91,363,3
92,360,3
93,366,3
94,363,3
95,361,3
96,385,4
97,375,3
98,373,3
99,364,3
100,376,3
101,389,3
102,373,3
103,382,3
104,375,3
105,407,3
106,382,3
107,448,4
108,403,3
109,390,3
110,458,4
111,407,3
112,413,3
113,406,3
114,419,3
115,427,3
116,428,3
117,405,3
118,423,3
119,445,3
120,448,3
121,424,3
122,441,3
123,424,3
124,441,3
125,469,3
126,487,3
127,485,3
128,481,3
129,441,3
130,454,3
131,449,3
132,430,3
133,456,3
134,471,3
135,455,3
136,459,3
137,463,3
138,476,3
139,510,3
140,472,3
141,471,3
142,493,3
143,508,3
144,481,3
145,509,3
146,523,3
147,483,3
148,493,3
149,508,3
150,480,3
151,508,3
152,542,3
153,486,3
154,522,3
155,496,3
156,510,3
157,497,3
158,504,3
159,536,3
160,526,3
161,556,3
162,510,3
163,538,3
164,536,3
165,553,3
166,523,3
167,539,3
168,584,3
169,551,3
170,551,3
171,540,3
172,552,3
173,535,3
174,546,3
175,545,3
176,573,3
177,573,3
178,584,3
179,570,3
180,571,3
181,623,3
182,586,3
183,611,3
184,585,3
185,578,3
186,557,2
187,598,3
188,559,2
189,616,3
190,582,3
191,580,3
192,601,3
193,597,3
194,620,3
195,655,3
196,613,3
197,629,3
198,627,3
199,612,3
200,634,3
201,620,3
202,667,3
203,670,3
204,639,3
205,638,3
206,697,3
207,666,3
208,649,3
209,627,3
210,665,3
211,624,2
212,622,2
213,663,3
214,655,3
215,641,2
216,650,3
217,657,3
218,715,3
219,666,3
220,677,3
221,673,3
222,688,3
223,627,2
224,659,2
225,725,3
226,693,3
227,670,2
228,675,2
229,700,3
230,697,3
231,662,2
232,730,3
233,716,3
234,709,3
235,691,2
236,757,3
237,715,3
238,731,3
239,713,2
240,716,2
241,697,2
242,721,2
243,679,2
244,782,3
245,785,3
246,741,3
247,812,3
248,743,2
249,780,3
250,800,3
251,750,2
252,747,2
253,717,2
254,742,2
255,751,2
256,702,2
257,831,3
258,744,2
259,804,3
260,739,2
261,780,2
262,776,2
263,818,3
264,824,3
265,784,2
266,789,2
267,776,2
268,826,3
269,788,2
270,771,2
271,823,3
272,877,3
273,806,2
274,797,2
275,841,3
276,786,2
277,837,3
278,803,2
279,774,2
280,799,2
281,798,2
282,817,2
283,841,2
284,850,2
285,791,2
286,840,2
287,867,3
288,836,2
289,859,2
290,820,2
291,818,2
292,842,2
293,850,2
294,885,3
295,873,2
296,878,2
297,828,2
298,823,2
299,869,2
300,848,2
301,878,2
302,906,3
303,865,2
304,887,2
305,889,2
306,880,2
307,950,3
308,907,2
309,884,2
310,871,2
311,879,2
312,895,2
313,895,2
314,906,2
315,920,2
316,974,3
317,911,2
318,896,2
319,983,3
320,924,2
321,868,2
322,945,2
323,924,2
324,904,2
325,915,2
326,902,2
327,925,2
328,961,2
329,954,2
330,965,2
331,922,2
332,898,2
333,946,2
334,911,2
335,916,2
336,927,2
337,946,2
338,995,2
339,981,2
340,1013,2
341,995,2
342,1026,3
343,963,2
344,956,2
345,964,2
346,995,2
347,968,2
348,987,2
349,984,2
350,964,2
351,1032,2
352,993,2
353,993,2
354,1027,2
355,971,2
356,960,2
357,1002,2
358,968,2
359,1037,2
360,986,2
361,1013,2
362,1022,2
363,1092,3
364,1049,2
365,1038,2
366,989,2
367,1065,2
368,1028,2
369,1045,2
370,1070,2
371,1055,2
372,979,2
373,1072,2
374,1072,2
375,1048,2
376,1045,2
377,1011,2
378,1024,2
379,1091,2
380,1098,2
381,1034,2
382,1066,2
383,1059,2
384,1110,2
385,1062,2
386,1121,2
387,1061,2
388,1057,2
389,1155,2
390,1109,2
391,1108,2
392,1074,2
393,1115,2
394,1111,2
395,1044,2
396,1074,2
397,1097,2
398,1111,2
399,1154,2
400,1108,2
401,1136,2
402,1131,2
403,1124,2
404,1086,2
405,1148,2
406,1079,2
407,1079,2
408,1133,2
409,1122,2
410,1156,2
411,1136,2
412,1131,2
413,1089,2
414,1111,2
415,1127,2
416,1166,2
417,1174,2
418,1102,2
419,1134,2
420,1132,2
421,1166,2
422,1185,2
423,1145,2
424,1149,2
425,1144,2
426,1149,2
427,1133,2
428,1133,2
429,1192,2
430,1184,2
431,1208,2
432,1176,2
433,1177,2
434,1179,2
435,1185,2
436,1199,2
437,1243,2
438,1241,2
439,1190,2
440,1195,2
441,1232,2
442,1212,2
443,1210,2
444,1232,2
445,1159,2
446,1206,2
447,1223,2
448,1182,2
449,1217,2
450,1133,2
451,1191,2
452,1207,2
453,1249,2
454,1217,2
455,1234,2
456,1273,2
457,1235,2
458,1260,2
459,1225,2
460,1213,2
461,1278,2
462,1284,2
463,1241,2
464,1260,2
465,1235,2
466,1246,2
467,1279,2
468,1238,2
469,1239,2
470,1247,2
471,1270,2
472,1260,2
473,1316,2
474,1304,2
475,1301,2
476,1311,2
477,1305,2
478,1298,2
479,1307,2
480,1446,3
481,3647,7
482,1302,2
483,3189,6
484,1317,2
485,1295,2
486,1304,2
487,1321,2
488,1289,2
489,1317,2
490,1316,2
491,1321,2
492,1329,2
493,1295,2
494,1428,2
495,1295,2
496,1322,2
497,1347,2
498,1340,2
499,1298,2
500,1326,2
501,1332,2
502,1349,2
503,1374,2
504,1421,2
505,1384,2
506,1383,2
507,1345,2
508,1406,2
509,1372,2
510,1368,2
511,1336,2
512,1436,2
513,1343,2
514,1434,2
515,1383,2
516,1404,2
517,1375,2
518,1386,2
519,1417,2
520,1439,2
521,1418,2
522,1353,2
523,1442,2
524,1343,2
525,1405,2
526,1393,2
527,1401,2
528,1428,2
529,1427,2
530,1423,2
531,1410,2
532,1440,2
533,1434,2
534,1427,2
535,1458,2
536,1480,2
537,1428,2
538,1420,2
539,1393,2
540,1441,2
541,1402,2
542,1431,2
543,1468,2
544,1423,2
545,1467,2
546,1453,2
547,1429,2
548,1460,2
549,1486,2
550,1463,2
551,1452,2
552,1499,2
553,1488,2
554,1474,2
555,1484,2
556,1545,2
557,1400,2
558,1499,2
559,1473,2
560,1554,2
561,1500,2
562,1530,2
563,1488,2
564,1498,2
565,1466,2
566,1539,2
567,1462,2
568,1543,2
569,1472,2
570,1533,2
571,1484,2
572,1516,2
573,1518,2
574,1503,2
575,1553,2
576,1526,2
577,1538,2
578,1556,2
579,1494,2
580,1502,2
581,1545,2
582,1523,2
583,1547,2
584,1608,2
585,1561,2
586,1573,2
587,1550,2
588,1609,2
589,1545,2
590,1649,2
591,1552,2
592,1562,2
593,1546,2
594,1563,2
595,1604,2
596,1615,2
597,1553,2
598,1542,2
599,1554,2
600,1581,2
601,1569,2
602,1568,2
603,1573,2
604,1589,2
605,1584,2
606,1549,2
607,1592,2
608,1594,2
609,1595,2
610,1610,2
611,1662,2
612,1636,2
613,1588,2
614,1622,2
615,1626,2
616,1597,2
617,1614,2
618,1600,2
619,1672,2
620,1634,2
621,1594,2
622,1625,2
623,1618,2
624,1691,2
625,1637,2
626,1603,2
627,1639,2
628,1641,2
629,1717,2
630,1679,2
631,1668,2
632,1687,2
633,1729,2
634,1687,2
635,1626,2
636,1747,2
637,1650,2
638,1678,2
639,1629,2
640,1704,2
641,1721,2
642,1714,2
643,1661,2
644,1685,2
645,1678,2
646,1724,2
647,1676,2
648,1676,2
649,1659,2
650,1742,2
651,1630,2
652,1738,2
653,1783,2
654,1750,2
655,1731,2
656,1684,2
657,1748,2
658,1733,2
659,1757,2
660,1779,2
661,1718,2
662,1750,2
663,1786,2
664,1826,2
665,1741,2
666,1761,2
667,1701,2
668,1768,2
669,1814,2
670,1705,2
671,1816,2
672,1710,2
673,1776,2
674,1763,2
675,1806,2
676,1769,2
677,1739,2
678,1739,2
679,1769,2
680,1769,2
681,1710,2
682,1849,2
683,1734,2
684,1788,2
685,1968,2
686,1804,2
687,1788,2
688,1790,2
689,1757,2
690,1802,2
691,1800,2
692,1795,2
693,1834,2
694,1848,2
695,1798,2
696,1844,2
697,1805,2
698,1849,2
699,1806,2
700,1856,2
701,1822,2
702,1789,2
703,1841,2
704,1826,2
705,1864,2
706,1849,2
707,1870,2
708,1909,2
709,1790,2
710,1830,2
711,1881,2
712,1869,2
713,1928,2
714,1952,2
715,1837,2
716,1921,2
717,1881,2
718,1864,2
719,1982,2
720,1861,2
721,1831,2
722,1830,2
723,1887,2
724,1909,2
725,1905,2
726,1890,2
727,1850,2
728,1883,2
729,1891,2
730,1943,2
731,1940,2
732,1972,2
733,1906,2
734,1947,2
735,1957,2
736,1943,2
737,1956,2
738,2010,2
739,1895,2
740,1896,2
741,1883,2
742,1948,2
743,1981,2
744,1976,2
745,1940,2
746,1930,2
747,1925,2
748,1951,2
749,1977,2
750,1925,2
751,1991,2
752,1972,2
753,1904,2
754,2031,2
755,1942,2
756,1901,2
757,1962,2
758,2018,2
759,1955,2
760,2092,2
761,1926,2
762,1991,2
763,1952,2
764,1966,2
765,2065,2
766,1979,2
767,2050,2
768,1967,2
769,1954,2
770,2023,2
771,2014,2
772,1975,2
773,2029,2
774,2043,2
775,2079,2
776,2015,2
777,2044,2
778,1996,2
779,2056,2
780,2060,2
781,2014,2
782,1909,2
783,2016,2
784,2002,2
785,1988,2
786,2140,2
787,2106,2
788,2110,2
789,2020,2
790,2112,2
791,2095,2
792,2068,2
793,2086,2
794,2050,2
795,2112,2
796,2068,2
797,2054,2
798,2062,2
799,2128,2
800,2053,2
801,2144,2
802,2143,2
803,2071,2
804,2131,2
805,2174,2
806,2120,2
807,2070,2
808,2107,2
809,2104,2
810,2076,2
811,2067,2
812,2083,2
813,2038,2
814,2035,2
815,2141,2
816,2093,2
817,2147,2
818,2164,2
819,2116,2
820,2135,2
821,2161,2
822,2112,2
823,2037,2
824,2119,2
825,2047,2
826,2115,2
827,2155,2
828,2131,2
829,2085,2
830,2176,2
831,2104,2
832,2236,2
833,2103,2
834,2163,2
835,2120,2
836,2197,2
837,2165,2
838,2198,2
839,2130,2
840,2171,2
841,2156,2
842,2190,2
843,2212,2
844,2093,2
845,2140,2
846,2157,2
847,2141,2
848,2224,2
849,2185,2
850,2284,2
851,2108,2
852,2070,2
853,2167,2
854,2183,2
855,2207,2
856,2191,2
857,2175,2
858,2220,2
859,2179,2
860,2204,2
861,2205,2
862,2143,2
863,2258,2
864,2187,2
865,2245,2
866,2146,2
867,2165,2
868,2217,2
869,2210,2
870,2359,2
871,2236,2
872,2228,2
873,2267,2
874,2244,2
875,2162,2
876,2293,2
877,2274,2
878,2394,2
879,2317,2
880,2250,2
881,2254,2
882,2241,2
883,2217,2
884,2250,2
885,2222,2
886,2244,2
887,2234,2
888,2346,2
889,2278,2
890,2236,2
891,2350,2
892,2440,2
893,2316,2
894,2272,2
895,2286,2
896,2264,2
897,2302,2
898,2273,2
899,2245,2
900,2362,2
901,2297,2
902,2314,2
903,2344,2
904,2296,2
905,2266,2
906,2243,2
907,2354,2
908,2413,2
909,2329,2
910,2302,2
911,2306,2
912,2241,2
913,2362,2
914,2369,2
915,2353,2
916,2314,2
917,2334,2
918,2395,2
919,2389,2
920,2339,2
921,2302,2
922,2383,2
923,2517,2
924,2292,2
925,2302,2
926,2408,2
927,2398,2
928,2310,2
929,2403,2
930,2340,2
931,2473,2
932,2419,2
933,2344,2
934,2359,2
935,2437,2
936,2408,2
937,2400,2
938,2389,2
939,2318,2
940,2373,2
941,2447,2
942,2412,2
943,2442,2
944,2388,2
945,2405,2
946,2406,2
947,2460,2
948,2444,2
949,2487,2
950,2527,2
951,2496,2
952,2415,2
953,2416,2
954,2517,2
955,2396,2
956,2480,2
957,2516,2
958,2372,2
959,2444,2
960,2461,2
961,2441,2
962,2417,2
963,2423,2
964,2466,2
965,2453,2
966,2438,2
967,2480,2
968,2439,2
969,2506,2
970,2448,2
971,2472,2
972,2528,2
973,2492,2
974,2476,2
975,2440,2
976,2469,2
977,2481,2
978,2444,2
979,2469,2
980,2454,2
981,2418,2
982,2517,2
983,2575,2
984,2481,2
985,2470,2
986,2522,2
987,2571,2
988,2530,2
989,2533,2
990,2455,2
991,2547,2
992,2541,2
993,2556,2
994,2513,2
995,2574,2
996,2634,2
997,2510,2
998,2539,2
999,2589,2
1000,2466,2
1001,2629,2
1002,2581,2
1003,2577,2
1004,2531,2
1005,2645,2
1006,2520,2
1007,2521,2
1008,2600,2
1009,4477,4
1010,4486,4
1011,4574,4
1012,4419,4
1013,4864,4
1014,4837,4
1015,4725,4
1016,4565,4
1017,2515,2
1018,4719,4
1019,4523,4
1020,4389,4
1021,4470,4
1022,4452,4
1023,4501,4
1024,4681,4
1025,2661,2
1026,2600,2
1027,2637,2
1028,2558,2
1029,2740,2
1030,2788,2
1031,2730,2
1032,2617,2
1033,2722,2
1034,150407,145
1035,2569,2
1036,2638,2
1037,2658,2
1038,2659,2
1039,2705,2
1040,2639,2
1041,2659,2
1042,2682,2
1043,2709,2
1044,2704,2
1045,2708,2
1046,2751,2
1047,2702,2
1048,2662,2
1049,2691,2
1050,2629,2
1051,2741,2
1052,2805,2
1053,5955,5
1054,2655,2
1055,2795,2
1056,2690,2
1057,2837,2
1058,2616,2
1059,2715,2
1060,2721,2
1061,2730,2
1062,2796,2
1063,2723,2
1064,2852,2
1065,2673,2
1066,2711,2
1067,2884,2
1068,2758,2
1069,2817,2
1070,2821,2
1071,2686,2
1072,2755,2
1073,2790,2
1074,2719,2
1075,2737,2
1076,2755,2
1077,2855,2
1078,2676,2
1079,2776,2
1080,2719,2
1081,2760,2
1082,2730,2
1083,2702,2
1084,2738,2
1085,2777,2
1086,2798,2
1087,2822,2
1088,2934,2
1089,2777,2
1090,2806,2
1091,2766,2
1092,2671,2
1093,2751,2
1094,2703,2
1095,2739,2
1096,2839,2
1097,2851,2
1098,2808,2
1099,2814,2
1100,2903,2
1101,2876,2
1102,2921,2
1103,2906,2
1104,2922,2
1105,2731,2
1106,2897,2
1107,2951,2
1108,2851,2
1109,2752,2
1110,2789,2
1111,2821,2
1112,2797,2
1113,2876,2
1114,2913,2
1115,2960,2
1116,2779,2
1117,3071,2
1118,2824,2
1119,2863,2
1120,2851,2
1121,2899,2
1122,2875,2
1123,2880,2
1124,2807,2
