KB,Read Time (ns),Read Time / Number (ns)
1,4659,4659
2,7296,3648
3,9896,3298
4,11923,2980
5,16140,3228
6,19195,3199
7,21234,3033
8,23922,2990
9,28295,3143
10,30436,3043
11,33142,3012
12,39814,3317
13,39514,3039
14,42874,3062
15,45661,3044
16,79813,4988
17,51226,3013
18,53120,2951
19,57512,3026
20,59756,2987
21,65409,3114
22,67474,3067
23,67911,2952
24,71561,2981
25,73874,2954
26,86967,3344
27,80499,2981
28,81631,2915
29,87992,3034
30,89604,2986
31,92273,2976
32,93452,2920
33,99113,3003
34,99814,2935
35,104513,2986
36,104912,2914
37,112238,3033
38,143524,3776
39,117574,3014
40,118897,2972
41,119356,2911
42,137823,3281
43,126587,2943
44,130093,2956
45,134272,2983
46,138644,3014
47,138070,2937
48,139640,2909
49,144374,2946
50,148499,2969
51,150776,2956
52,149485,2874
53,177983,3358
54,167779,3107
55,163753,2977
56,166894,2980
57,166783,2926
58,173401,2989
59,173800,2945
60,176936,2948
61,187667,3076
62,232900,3756
63,185467,2943
64,188543,2945
65,192159,2956
66,205892,3119
67,193100,2882
68,198177,2914
69,206362,2990
70,211131,3016
71,209812,2955
72,212070,2945
73,217761,2983
74,219711,2969
75,219968,2932
76,228982,3012
77,226829,2945
78,226903,2909
79,233736,2958
80,241639,3020
81,242085,2988
82,242128,2952
83,242746,2924
84,250963,2987
85,252980,2976
86,261955,3045
87,261092,3001
88,261752,2974
89,261235,2935
90,265558,2950
91,269202,2958
92,269012,2924
93,279112,3001
94,289098,3075
95,284397,2993
96,279632,2912
97,289168,2981
98,289761,2956
99,290126,2930
100,302557,3025
101,302999,2999
102,312131,3060
103,303415,2945
104,321832,3094
105,309901,2951
106,317363,2993
107,310610,2902
108,335064,3102
109,329927,3026
110,324383,2948
111,326831,2944
112,330591,2951
113,338368,2994
114,435888,3823
115,340640,2962
116,338124,2914
117,355267,3036
118,352652,2988
119,362787,3048
120,347172,2893
121,355455,2937
122,362667,2972
123,363169,2952
124,380444,3068
125,380561,3044
126,386900,3070
127,375727,2958
128,386827,3022
129,382521,2965
130,394088,3031
