MB,Read Time (ns),Read Time / Number (ns)
1,3043670,3043670
2,6803175,3401587
3,9463652,3154550
4,12343690,3085922
5,15414893,3082978
6,18248043,3041340
7,21302980,3043282
8,24486428,3060803
9,27612612,3068068
10,31086359,3108635
11,33633988,3057635
12,36741209,3061767
13,39447286,3034406
14,43137682,3081263
15,46057281,3070485
16,48797325,3049832
17,52127202,3066306
18,54905095,3050283
19,58248449,3065707
20,61694228,3084711
21,64416953,3067473
22,67600027,3072728
23,70233295,3053621
24,73305072,3054378
25,77040382,3081615
26,79908746,3073413
27,82785060,3066113
28,85713578,3061199
29,88731127,3059694
30,91894484,3063149
31,94583411,3051077
32,98753918,3086059
33,100880120,3056973
34,104336694,3068726
35,107402954,3068655
36,111331650,3092545
37,113471632,3066800
38,116875997,3075684
39,119863849,3073432
40,123211062,3080276
41,125553813,3062288
42,128908832,3069257
43,132206804,3074576
44,135369898,3076588
45,137733521,3060744
46,141182618,3069187
47,144691444,3078541
48,148337051,3090355
49,149603957,3053141
50,153011804,3060236
51,157053775,3079485
52,161525632,3106262
53,161943501,3055537
54,166275972,3079184
55,169248445,3077244
56,172093011,3073089
57,176074756,3089030
58,179470823,3094324
59,181720970,3080016
60,182582854,3043047
61,186909752,3064094
62,191711876,3092127
63,193467398,3070911
64,196701600,3073462
65,199060508,3062469
66,202274267,3064761
67,206599423,3083573
68,208504012,3066235
69,211984093,3072233
70,214030165,3057573
71,220229139,3101818
72,220147577,3057605
73,227320182,3113975
74,227302983,3071661
75,230807877,3077438
76,233431419,3071466
77,240197809,3119452
78,239685223,3072887
79,241416133,3055900
80,246259214,3078240
81,247910960,3060629
82,253282332,3088808
83,254620376,3067715
84,256830467,3057505
85,262204857,3084763
86,263799871,3067440
87,267172053,3070943
88,269670479,3064437
89,272968305,3067059
90,275434786,3060386
91,279815826,3074899
92,283315062,3079511
93,285663518,3071650
94,290597225,3091459
95,294761022,3102747
96,295009955,3073020
97,296948322,3061322
98,304398741,3106109
99,304011151,3070819
100,314543157,3145431
101,308655748,3055997
102,316900204,3106864
103,320568125,3112311
104,319594338,3073022
105,321696380,3063775
106,326044237,3075889
107,329381965,3078336
108,329453486,3050495
109,334526695,3069052
110,337361519,3066922
111,339385224,3057524
112,347774457,3105129
113,345231300,3055144
114,349939790,3069647
115,352625558,3066309
116,354937290,3059804
117,363180603,3104107
118,366116350,3102680
119,365337551,3070063
120,367946502,3066220
121,370554024,3062429
122,375385691,3076931
123,375315826,3051348
124,379806854,3062958
125,383145454,3065163
126,392952877,3118673
127,388692570,3060571
128,396082999,3094398
