B,Read Time (ns),Read Time / Number (ns)
1,169,169
2,157,78
3,155,51
4,146,36
5,150,30
6,164,27
7,175,25
8,199,24
9,168,18
10,173,17
11,194,17
12,177,14
13,177,13
14,205,14
15,176,11
16,200,12
17,182,10
18,190,10
19,193,10
20,222,11
21,191,9
22,213,9
23,197,8
24,216,9
25,205,8
26,228,8
27,203,7
28,193,6
29,228,7
30,216,7
31,215,6
32,221,6
33,206,6
34,232,6
35,216,6
36,210,5
37,220,5
38,319,8
39,245,6
40,247,6
41,232,5
42,241,5
43,250,5
44,244,5
45,267,5
46,239,5
47,242,5
48,271,5
49,251,5
50,261,5
51,279,5
52,262,5
53,265,5
54,289,5
55,264,4
56,246,4
57,264,4
58,277,4
59,289,4
60,283,4
61,264,4
62,255,4
63,289,4
64,310,4
65,278,4
66,266,4
67,300,4
68,300,4
69,306,4
70,283,4
71,294,4
72,299,4
73,295,4
74,310,4
75,287,3
76,314,4
77,307,3
78,323,4
79,315,3
80,311,3
81,328,4
82,322,3
83,296,3
84,305,3
85,334,3
86,318,3
87,332,3
88,319,3
89,325,3
90,337,3
91,336,3
92,342,3
93,352,3
94,366,3
95,369,3
96,365,3
97,339,3
98,359,3
99,365,3
100,375,3
101,366,3
102,396,3
103,369,3
104,351,3
105,359,3
106,365,3
107,392,3
108,398,3
109,415,3
110,382,3
111,365,3
112,394,3
113,396,3
114,411,3
115,397,3
116,370,3
117,391,3
118,388,3
119,392,3
120,395,3
121,392,3
122,421,3
123,399,3
124,408,3
125,401,3
126,403,3
127,388,3
128,390,3
129,410,3
130,424,3
131,421,3
132,506,3
133,411,3
134,401,2
135,445,3
136,441,3
137,423,3
138,467,3
139,430,3
140,447,3
141,427,3
142,464,3
143,436,3
144,466,3
145,452,3
146,451,3
147,444,3
148,442,2
149,452,3
150,432,2
151,475,3
152,473,3
153,460,3
154,454,2
155,462,2
156,490,3
157,487,3
158,481,3
159,508,3
160,479,2
161,493,3
162,462,2
163,462,2
164,521,3
165,490,2
166,463,2
167,540,3
168,474,2
169,511,3
170,524,3
171,524,3
172,530,3
173,521,3
174,505,2
175,500,2
176,481,2
177,511,2
178,540,3
179,532,2
180,519,2
181,504,2
182,541,2
183,526,2
184,522,2
185,540,2
186,568,3
187,553,2
188,532,2
189,548,2
190,518,2
191,570,2
192,542,2
193,527,2
194,554,2
195,562,2
196,523,2
197,549,2
198,550,2
199,545,2
200,572,2
201,614,3
202,541,2
203,521,2
204,558,2
205,597,2
206,594,2
207,599,2
208,581,2
209,591,2
210,585,2
211,568,2
212,595,2
213,593,2
214,628,2
215,590,2
216,597,2
217,595,2
218,568,2
219,593,2
220,576,2
221,606,2
222,592,2
223,637,2
224,634,2
225,637,2
226,625,2
227,610,2
228,613,2
229,636,2
230,727,3
231,666,2
232,603,2
233,613,2
234,627,2
235,618,2
236,607,2
237,634,2
238,600,2
239,667,2
240,654,2
241,641,2
242,647,2
243,653,2
244,679,2
245,683,2
246,650,2
247,623,2
248,614,2
249,667,2
250,671,2
251,656,2
252,3643,14
253,667,2
254,651,2
255,654,2
256,639,2
257,725,2
258,703,2
259,702,2
260,707,2
261,737,2
262,695,2
263,711,2
264,717,2
265,702,2
266,690,2
267,697,2
268,703,2
269,733,2
270,707,2
271,743,2
272,745,2
273,751,2
274,724,2
275,778,2
276,732,2
277,670,2
278,721,2
279,756,2
280,705,2
281,711,2
282,685,2
283,720,2
284,764,2
285,713,2
286,751,2
287,719,2
288,762,2
289,741,2
290,756,2
291,721,2
292,786,2
293,762,2
294,754,2
295,786,2
296,783,2
297,719,2
298,799,2
299,748,2
300,754,2
301,766,2
302,739,2
303,762,2
304,812,2
305,798,2
306,797,2
307,789,2
308,733,2
309,781,2
310,818,2
311,782,2
312,801,2
313,804,2
314,772,2
315,768,2
316,784,2
317,815,2
318,794,2
319,815,2
320,868,2
321,807,2
322,805,2
323,845,2
324,788,2
325,767,2
326,798,2
327,797,2
328,846,2
329,815,2
330,954,2
331,793,2
332,863,2
333,823,2
334,842,2
335,846,2
336,860,2
337,863,2
338,836,2
339,812,2
340,844,2
341,833,2
342,903,2
343,881,2
344,816,2
345,833,2
346,869,2
347,817,2
348,870,2
349,843,2
350,841,2
351,864,2
352,888,2
353,877,2
354,851,2
355,866,2
356,836,2
357,906,2
358,912,2
359,908,2
360,853,2
361,835,2
362,880,2
363,918,2
364,905,2
365,892,2
366,876,2
367,894,2
368,931,2
369,851,2
370,894,2
371,980,2
372,898,2
373,954,2
374,870,2
375,910,2
376,921,2
377,886,2
378,885,2
379,887,2
380,916,2
381,903,2
382,953,2
383,950,2
384,919,2
385,925,2
386,940,2
387,941,2
388,938,2
389,944,2
390,942,2
391,968,2
392,969,2
393,963,2
394,931,2
395,937,2
396,993,2
397,952,2
398,1003,2
399,949,2
400,967,2
401,930,2
402,996,2
403,990,2
404,1007,2
405,932,2
406,952,2
407,966,2
408,1008,2
409,1007,2
410,1031,2
411,990,2
412,997,2
413,1010,2
414,1037,2
415,1035,2
416,1007,2
417,1020,2
418,1001,2
419,952,2
420,1013,2
421,1008,2
422,1005,2
423,985,2
424,983,2
425,986,2
426,1187,2
427,1082,2
428,1037,2
429,981,2
430,1001,2
431,1079,2
432,989,2
433,1004,2
434,1057,2
435,1102,2
436,1033,2
437,1009,2
438,1046,2
439,1029,2
440,1005,2
441,1076,2
442,1043,2
443,1051,2
444,1055,2
445,1055,2
446,1057,2
447,1039,2
448,1078,2
449,1053,2
450,1098,2
451,1089,2
452,1073,2
453,1123,2
454,1121,2
455,1133,2
456,1088,2
457,1107,2
458,1096,2
459,1149,2
460,1117,2
461,1071,2
462,1056,2
463,1085,2
464,1038,2
465,1078,2
466,1105,2
467,1124,2
468,1218,2
469,1073,2
470,1101,2
471,1098,2
472,1076,2
473,1124,2
474,1182,2
475,1111,2
476,1081,2
477,1126,2
478,1159,2
479,1171,2
480,1131,2
481,1143,2
482,1144,2
483,1086,2
484,1137,2
485,1123,2
486,1156,2
487,1136,2
488,1136,2
489,1148,2
490,1152,2
491,1210,2
492,1127,2
493,1151,2
494,1139,2
495,1125,2
496,1201,2
497,1143,2
498,1167,2
499,1226,2
500,1169,2
501,1219,2
502,1242,2
503,1245,2
504,1172,2
505,1154,2
506,1183,2
507,1209,2
508,1169,2
509,1191,2
510,1185,2
511,1253,2
512,1225,2
513,1197,2
514,1137,2
515,1153,2
516,1199,2
517,1199,2
518,1246,2
519,1233,2
520,1226,2
521,1223,2
522,1256,2
523,1173,2
524,1200,2
525,1183,2
526,1185,2
527,1206,2
528,1251,2
529,1252,2
530,1220,2
531,1240,2
532,1205,2
533,1261,2
534,1204,2
535,1253,2
536,1305,2
537,1273,2
538,1285,2
539,1249,2
540,1292,2
541,1269,2
542,1258,2
543,1251,2
544,1319,2
545,1277,2
546,1230,2
547,1235,2
548,1231,2
549,1233,2
550,1270,2
551,1263,2
552,1259,2
553,1285,2
554,1276,2
555,1293,2
556,1296,2
557,1284,2
558,1254,2
559,1342,2
560,1351,2
561,1237,2
562,1324,2
563,1259,2
564,1313,2
565,1367,2
566,1337,2
567,1303,2
568,1277,2
569,1300,2
570,1292,2
571,1320,2
572,1321,2
573,1279,2
574,1332,2
575,1355,2
576,1391,2
577,1344,2
578,1326,2
579,1348,2
580,1280,2
581,1349,2
582,1324,2
583,1346,2
584,1318,2
585,1338,2
586,1385,2
587,1331,2
588,1365,2
589,1329,2
590,1374,2
591,1346,2
592,1383,2
593,1295,2
594,1428,2
595,1465,2
596,1338,2
597,1372,2
598,1331,2
599,1346,2
600,1359,2
601,1374,2
602,1345,2
603,1334,2
604,1356,2
605,1348,2
606,1362,2
607,1337,2
608,1407,2
609,1398,2
610,1434,2
611,1364,2
612,1372,2
613,1380,2
614,1353,2
615,1426,2
616,1355,2
617,1473,2
618,1384,2
619,1411,2
620,1445,2
621,1489,2
622,1462,2
623,1408,2
624,1445,2
625,1435,2
626,1443,2
627,1439,2
628,1551,2
629,1431,2
630,1470,2
631,1489,2
632,1387,2
633,1502,2
634,1408,2
635,1429,2
636,1425,2
637,1430,2
638,1391,2
639,1414,2
640,1466,2
641,1482,2
642,1480,2
643,1515,2
644,1473,2
645,1473,2
646,1482,2
647,1440,2
648,1452,2
649,1431,2
650,1557,2
651,1541,2
652,1544,2
653,1470,2
654,1516,2
655,1460,2
656,1508,2
657,1475,2
658,1491,2
659,1434,2
660,1500,2
661,1549,2
662,1467,2
663,1459,2
664,1586,2
665,1515,2
666,1535,2
667,1559,2
668,1531,2
669,1497,2
670,1508,2
671,1519,2
672,1503,2
673,1594,2
674,1520,2
675,1522,2
676,1533,2
677,1482,2
678,1488,2
679,1466,2
680,1526,2
681,1541,2
682,1515,2
683,1545,2
684,1561,2
685,1578,2
686,1569,2
687,1600,2
688,1539,2
689,1552,2
690,1606,2
691,1555,2
692,1527,2
693,1606,2
694,1549,2
695,1581,2
696,1621,2
697,1604,2
698,1635,2
699,1574,2
700,1675,2
701,1521,2
702,1607,2
703,1582,2
704,1564,2
705,1553,2
706,1583,2
707,1602,2
708,1580,2
709,1570,2
710,1638,2
711,1617,2
712,1625,2
713,1594,2
714,1639,2
715,1636,2
716,1702,2
717,1630,2
718,1602,2
719,1684,2
720,1634,2
721,1622,2
722,1646,2
723,1595,2
724,1685,2
725,1630,2
726,1643,2
727,1641,2
728,1596,2
729,1597,2
730,1593,2
731,1621,2
732,1625,2
733,1671,2
734,1627,2
735,1649,2
736,1643,2
737,1592,2
738,1681,2
739,1691,2
740,1633,2
741,1603,2
742,1664,2
743,1658,2
744,1662,2
745,1658,2
