KB,Read Time (ns),Read Time / Number (ns)
1,2068,2068
2,2113,1056
3,4581,1527
4,3428,857
5,3713,742
6,4105,684
7,4092,584
8,4084,510
9,5404,600
10,5596,559
11,5057,459
12,5095,424
13,7149,549
14,7505,536
15,7777,518
16,7492,468
17,9101,535
18,8786,488
19,8823,464
20,8991,449
21,10274,489
22,10063,457
23,10338,449
24,10497,437
25,13034,521
26,11994,461
27,12881,477
28,11621,415
29,14574,502
30,13827,460
31,15076,486
32,14008,437
33,16144,489
34,16189,476
35,14912,426
36,16391,455
37,17346,468
38,17164,451
39,17321,444
40,17042,426
41,18848,459
42,20166,480
43,17264,401
44,19579,444
45,20063,445
46,33629,731
47,22438,477
48,40643,846
49,22684,462
50,22742,454
51,21988,431
52,24741,475
53,23451,442
54,23833,441
55,24762,450
56,23473,419
57,35199,617
58,24903,429
59,26276,445
60,34971,582
61,26849,440
62,28113,453
63,28522,452
64,38501,601
65,29659,456
66,31084,470
67,27997,417
68,31799,467
69,28461,412
70,30246,432
71,31504,443
72,32561,452
73,38611,528
74,30973,418
75,31159,415
76,33494,440
77,39483,512
78,35154,450
79,41695,527
80,35769,447
81,35165,434
82,36194,441
83,33793,407
84,39481,470
85,40998,482
86,37386,434
87,45502,523
88,34112,387
89,41550,466
90,36708,407
91,37519,412
92,39832,432
93,44568,479
94,40986,436
95,36749,386
96,42245,440
97,49159,506
98,54416,555
99,40589,409
100,42961,429
101,50226,497
102,45629,447
103,39896,387
104,43516,418
105,61218,583
106,46789,441
107,50535,472
108,39007,361
109,48097,441
110,44231,402
111,47079,424
112,58802,525
113,59400,525
114,63147,553
115,53370,464
116,52109,449
117,52493,448
118,49330,418
119,46644,391
120,53449,445
121,71599,591
122,46626,382
123,52690,428
124,49662,400
125,51981,415
126,54639,433
127,58065,457
128,57273,447
129,60267,467
130,54795,421
131,58951,450
132,59889,453
133,54473,409
134,58323,435
135,55533,411
136,65402,480
137,60233,439
138,57670,417
139,56038,403
140,55735,398
141,70111,497
142,75820,533
143,66679,466
144,71432,496
145,69177,477
146,61473,421
147,64856,441
148,69636,470
149,71883,482
150,72194,481
151,68618,454
152,66652,438
153,103391,675
154,67691,439
155,65495,422
156,62681,401
157,70590,449
158,91194,577
159,67307,423
160,79770,498
161,65083,404
162,72943,450
163,73268,449
164,80692,492
165,79964,484
166,70171,422
167,69450,415
168,70309,418
169,66399,392
170,79143,465
171,74655,436
172,71585,416
173,79988,462
174,74479,428
175,82750,472
176,80173,455
177,75383,425
178,77630,436
179,87712,490
180,82990,461
181,87447,483
182,87124,478
183,78918,431
184,76546,416
185,85687,463
186,93436,502
187,82322,440
188,78614,418
189,83928,444
190,72585,382
191,96028,502
192,80413,418
193,86642,448
194,85451,440
195,98649,505
196,77554,395
197,94430,479
198,84475,426
199,84369,423
200,78846,394
201,96574,480
202,88008,435
203,87238,429
204,89455,438
205,130020,634
206,93374,453
207,80646,389
208,95308,458
209,136038,650
210,94102,448
211,87736,415
212,94941,447
213,103133,484
214,94738,442
215,102106,474
216,97362,450
217,101896,469
218,101982,467
219,85651,391
220,105996,481
221,154597,699
222,99199,446
223,102140,458
224,89604,400
225,136953,608
226,98486,435
227,104669,461
228,105214,461
229,109615,478
230,92446,401
231,115375,499
232,104636,451
233,116247,498
234,116934,499
235,96785,411
236,107179,454
237,117506,495
238,123512,518
239,105117,439
240,114055,475
241,103945,431
242,119731,494
243,104330,429
244,108893,446
245,139507,569
246,119629,486
247,435519,1763
248,112798,454
249,116819,469
250,104841,419
251,107390,427
252,139154,552
253,104286,412
254,130459,513
255,106406,417
256,109562,427
257,113268,440
258,126809,491
259,103931,401
260,122016,469
261,116986,448
262,113143,431
263,125718,478
264,109248,413
265,106163,400
266,117214,440
267,111557,417
268,123828,462
269,120702,448
270,112952,418
271,137896,508
272,120176,441
273,145648,533
274,125306,457
275,131847,479
276,124524,451
277,130387,470
278,141347,508
279,125985,451
280,111421,397
281,115198,409
282,129823,460
283,119379,421
284,146821,516
285,121071,424
286,143260,500
287,133475,465
288,134298,466
289,122561,424
290,130584,450
291,124775,428
292,123779,423
293,136398,465
294,149367,508
295,132903,450
296,123963,418
297,134086,451
298,130869,439
299,123928,414
300,144128,480
301,154337,512
302,134649,445
303,141090,465
304,129063,424
305,129767,425
306,145694,476
307,130093,423
308,134989,438
309,128089,414
310,146842,473
311,142055,456
312,142363,456
313,132436,423
314,121266,386
315,138999,441
316,149129,471
317,154767,488
318,131036,412
319,143385,449
320,139043,434
321,132875,413
322,150215,466
323,153269,474
324,151723,468
325,159623,491
326,143136,439
327,145789,445
328,145223,442
329,136422,414
330,138469,419
331,144285,435
332,135494,408
333,140196,421
334,160369,480
335,148183,442
336,146915,437
337,167383,496
338,148750,440
339,145272,428
340,147535,433
341,150361,440
342,156637,458
343,149683,436
344,156693,455
345,166060,481
346,166438,481
347,156729,451
348,140208,402
349,140739,403
350,145520,415
351,148373,422
352,156577,444
353,155733,441
354,146047,412
355,136931,385
356,157133,441
357,163152,457
358,154798,432
359,157370,438
360,167497,465
361,174853,484
362,175262,484
363,183198,504
364,150437,413
365,155547,426
366,170226,465
367,156970,427
368,170420,463
369,191791,519
370,171159,462
371,159862,430
372,161785,434
373,170609,457
374,184075,492
375,166756,444
376,174934,465
377,181132,480
378,164541,435
379,164427,433
380,171091,450
381,172953,453
382,169519,443
383,160034,417
384,184934,481
385,177544,461
386,180929,468
387,185528,479
388,177291,456
389,155720,400
390,190131,487
391,177961,455
392,170850,435
393,177425,451
394,172649,438
395,180395,456
396,174090,439
397,175153,441
398,169256,425
399,181217,454
400,193908,484
401,185272,462
402,182411,453
403,161078,399
404,185205,458
405,168334,415
406,189122,465
407,189462,465
408,207210,507
409,168589,412
410,226758,553
411,197767,481
412,177845,431
413,203395,492
414,187089,451
415,177900,428
416,305113,733
417,198387,475
418,186481,446
419,183142,437
420,185091,440
421,184250,437
422,179765,425
423,188246,445
424,176628,416
425,221945,522
426,186879,438
427,168094,393
428,185650,433
429,182797,426
430,192180,446
431,184173,427
432,195348,452
433,190426,439
434,196790,453
435,186033,427
436,185285,424
437,168721,386
438,213856,488
439,193882,441
440,191339,434
441,205786,466
442,193239,437
443,189142,426
444,182788,411
445,199186,447
446,193375,433
447,184845,413
448,200007,446
449,207532,462
450,198740,441
451,188783,418
452,206552,456
453,195918,432
454,186734,411
455,188246,413
456,200604,439
457,192813,421
458,199903,436
459,195836,426
460,202328,439
461,203158,440
462,211757,458
463,200560,433
464,203870,439
465,223442,480
466,205346,440
467,206131,441
468,197728,422
469,225919,481
470,196831,418
471,202614,430
472,204218,432
473,209080,442
474,228876,482
475,218678,460
476,212155,445
477,210133,440
478,225241,471
479,200542,418
480,210931,439
481,203461,422
482,191144,396
483,213572,442
484,220110,454
485,200366,413
486,230680,474
487,213683,438
488,228189,467
489,219134,448
490,225121,459
491,214790,437
492,210739,428
493,216690,439
494,239817,485
495,213436,431
496,220670,444
497,197945,398
498,206019,413
499,207850,416
500,242913,485
501,218193,435
502,218642,435
503,215324,428
504,215950,428
505,224560,444
506,225743,446
507,212389,418
508,211274,415
509,226854,445
510,214863,421
511,236717,463
512,212880,415
513,238921,465
514,234592,456
515,213293,414
516,249387,483
517,223295,431
518,228552,441
519,241501,465
520,219860,422
521,222744,427
522,225093,431
523,231666,442
524,215967,412
525,238179,453
526,232914,442
527,244491,463
528,235383,445
529,231377,437
530,233351,440
531,222695,419
532,255491,480
533,228590,428
534,224166,419
535,238358,445
536,241955,451
537,238133,443
538,261311,485
539,258632,479
540,262885,486
541,238839,441
542,231096,426
543,243421,448
544,235152,432
545,248107,455
546,243658,446
547,239100,437
548,246644,450
549,233015,424
550,240345,436
551,229562,416
552,258334,467
553,270834,489
554,247106,446
555,250400,451
556,232022,417
557,256673,460
558,232142,416
559,237492,424
560,261698,467
561,242485,432
562,240535,427
563,241963,429
564,242505,429
565,231224,409
566,242352,428
567,243630,429
568,238140,419
569,253944,446
570,244440,428
571,251963,441
572,249706,436
573,260835,455
574,239165,416
575,241807,420
576,242928,421
577,248741,431
578,235655,407
579,282139,487
580,235281,405
581,255082,439
582,248409,426
583,255092,437
584,258382,442
585,269618,460
586,254281,433
587,246049,419
588,271486,461
589,251182,426
590,255048,432
591,266833,451
592,264606,446
593,265989,448
594,252838,425
595,251670,422
596,277134,464
597,265877,445
598,259752,434
599,267734,446
600,255146,425
601,292384,486
602,262303,435
603,275290,456
604,257895,426
605,265966,439
606,263739,435
607,263664,434
608,248610,408
609,275015,451
610,253024,414
611,272939,446
612,311218,508
613,287263,468
614,266688,434
615,276252,449
616,272968,443
617,306072,496
618,275037,445
619,252922,408
620,286452,462
621,299731,482
622,286759,461
623,287334,461
624,261830,419
625,264153,422
626,290932,464
627,286493,456
628,256013,407
629,308062,489
630,271808,431
631,270774,429
632,256255,405
633,305917,483
634,266363,420
635,284919,448
636,276562,434
637,279470,438
638,286047,448
639,266079,416
640,287313,448
641,276854,431
642,283567,441
643,263593,409
644,262930,408
645,291708,452
646,273747,423
647,297533,459
648,269286,415
649,304306,468
650,286402,440
651,283921,436
652,287638,441
653,292639,448
654,279321,427
655,272525,416
656,274068,417
657,312727,475
658,281418,427
659,283112,429
660,309789,469
661,300905,455
662,282898,427
663,309134,466
664,283761,427
665,289229,434
666,288407,433
667,297941,446
668,270690,405
669,296791,443
670,284377,424
671,303468,452
672,306985,456
673,316654,470
674,290164,430
675,291443,431
676,306732,453
677,301020,444
678,294541,434
679,293229,431
680,288227,423
681,308493,453
682,284144,416
683,288315,422
684,317917,464
685,315205,460
686,288083,419
687,310736,452
688,301870,438
689,306733,445
690,339535,492
691,294777,426
692,305906,442
693,307247,443
694,303552,437
695,290587,418
696,305987,439
697,314976,451
698,319217,457
699,302514,432
700,305239,436
701,309202,441
702,305191,434
703,365486,519
704,305296,433
705,331210,469
706,314741,445
707,320059,452
708,357903,505
709,313922,442
710,294532,414
711,295942,416
712,344656,484
713,297603,417
714,312620,437
715,344497,481
716,307650,429
717,319768,445
718,327715,456
719,321817,447
720,313694,435
721,350859,486
722,311583,431
723,335804,464
724,318414,439
725,355020,489
726,318197,438
727,328855,452
728,313127,430
729,309552,424
730,353055,483
731,323581,442
732,310517,424
733,330625,451
734,308832,420
735,340534,463
736,321871,437
737,319233,433
738,307381,416
739,313014,423
740,623550,842
741,332991,449
742,312185,420
743,323752,435
744,326217,438
745,325572,437
746,337058,451
747,349888,468
748,331144,442
749,354753,473
750,335648,447
751,308997,411
752,301544,400
753,333499,442
754,314154,416
755,353218,467
756,322796,426
757,330133,436
758,337635,445
759,330716,435
760,346120,455
761,341171,448
762,338432,444
763,314868,412
764,332968,435
765,339805,444
766,320009,417
767,400950,522
768,366528,477
769,339765,441
770,379266,492
771,335151,434
772,339249,439
773,338789,438
774,349807,451
775,352103,454
776,354127,456
777,342520,440
778,320267,411
779,343059,440
780,391354,501
781,338411,433
782,336176,429
783,340899,435
784,350818,447
785,326433,415
786,385083,489
787,322869,410
788,339293,430
789,351060,444
790,337383,427
791,353877,447
792,364131,459
793,333235,420
794,357737,450
795,341393,429
796,341361,428
797,337638,423
798,374701,469
799,329876,412
800,351407,439
801,339903,424
802,357353,445
803,355194,442
804,359664,447
805,341095,423
806,332787,412
807,349415,432
808,355816,440
809,364319,450
810,337062,416
811,364791,449
812,345572,425
813,355056,436
814,369096,453
815,355690,436
816,383316,469
817,345841,423
818,342303,418
819,358879,438
820,371133,452
821,372490,453
822,351429,427
823,356241,432
824,379695,460
825,366242,443
826,350970,424
827,349970,423
828,347812,420
829,378110,456
830,363354,437
831,349752,420
832,384571,462
833,405080,486
834,365186,437
835,418676,501
836,355550,425
837,352189,420
