MB,Read Time (ns),Read Time / Number (ns)
1,2601,2601
2,4072,2036
3,5878,1959
4,10265,2566
5,10205,2041
6,12225,2037
7,14096,2013
8,16255,2031
9,17649,1961
10,19887,1988
11,21679,1970
12,23898,1991
13,26302,2023
14,29686,2120
15,31864,2124
16,32153,2009
17,36030,2119
18,38174,2120
19,49800,2621
20,41975,2098
21,44706,2128
22,45836,2083
23,48696,2117
24,62741,2614
25,54768,2190
26,68266,2625
27,71461,2646
28,63842,2280
29,62972,2171
30,65098,2169
31,68722,2216
32,71804,2243
33,71731,2173
34,82932,2439
35,91237,2606
36,77757,2159
37,98601,2664
38,86077,2265
39,88343,2265
40,102117,2552
41,105050,2562
42,99242,2362
43,95715,2225
44,98313,2234
45,110777,2461
46,101654,2209
47,121210,2578
48,117352,2444
49,115353,2354
50,114172,2283
51,118279,2319
52,129033,2481
53,133545,2519
54,127041,2352
55,127695,2321
56,135794,2424
57,140061,2457
58,132645,2286
59,142633,2417
60,146366,2439
61,149540,2451
62,156136,2518
63,150931,2395
64,162092,2532
65,161687,2487
66,188038,2849
67,162045,2418
68,163645,2406
69,161762,2344
70,172124,2458
71,162895,2294
72,180522,2507
73,180433,2471
74,168852,2281
75,183086,2441
76,194270,2556
77,192107,2494
78,177666,2277
79,189984,2404
80,193839,2422
81,188773,2330
82,195976,2389
83,197323,2377
84,204516,2434
85,205930,2422
86,210387,2446
87,206395,2372
88,209164,2376
89,210724,2367
90,244803,2720
91,216574,2379
92,221640,2409
93,218928,2354
94,226422,2408
95,225944,2378
96,224989,2343
97,244505,2520
98,237050,2418
99,238714,2411
100,246068,2460
101,258616,2560
102,248162,2432
103,241041,2340
104,242309,2329
105,247707,2359
106,253322,2389
107,267294,2498
108,269105,2491
109,260587,2390
110,282434,2567
111,267380,2408
112,266018,2375
113,275464,2437
114,264576,2320
115,335662,2918
116,293839,2533
117,287276,2455
118,288487,2444
119,287944,2419
120,297158,2476
121,287967,2379
122,294220,2411
123,294603,2395
124,297890,2402
125,292202,2337
126,306667,2433
127,306060,2409
128,332070,2594
129,354127,2745
130,301717,2320
131,309692,2364
132,311964,2363
133,328750,2471
134,317688,2370
135,333922,2473
136,343649,2526
137,350010,2554
138,317701,2302
139,327996,2359
140,335225,2394
141,348121,2468
142,333067,2345
143,332795,2327
144,345682,2400
145,346506,2389
146,349039,2390
147,347670,2365
148,366532,2476
149,353486,2372
150,353916,2359
151,374897,2482
152,365842,2406
153,374338,2446
154,374984,2434
155,367938,2373
156,377180,2417
157,370052,2357
158,366731,2321
159,377133,2371
160,402486,2515
161,447354,2778
162,382022,2358
163,396052,2429
164,409365,2496
165,400676,2428
166,429155,2585
167,424631,2542
168,408927,2434
169,403284,2386
170,433260,2548
171,410180,2398
172,414334,2408
173,424250,2452
174,416580,2394
175,431204,2464
176,413813,2351
177,434547,2455
178,418866,2353
179,449071,2508
180,429954,2388
181,439700,2429
182,484743,2663
183,450658,2462
184,436830,2374
185,471348,2547
186,458532,2465
187,453133,2423
188,471192,2506
189,452735,2395
190,474612,2497
191,462899,2423
192,462504,2408
193,577388,2991
194,464492,2394
195,463967,2379
196,533286,2720
197,469091,2381
198,481908,2433
199,488809,2456
200,533149,2665
201,490970,2442
202,490285,2427
203,482036,2374
204,498613,2444
205,498418,2431
206,499558,2425
207,527569,2548
208,503510,2420
209,528042,2526
210,528685,2517
211,516226,2446
212,515172,2430
213,527202,2475
214,526030,2458
215,513680,2389
216,525370,2432
217,542206,2498
218,534966,2453
219,539011,2461
220,559587,2543
221,543483,2459
222,604350,2722
223,547920,2457
224,535814,2392
225,551346,2450
226,555113,2456
227,567553,2500
228,557293,2444
229,553050,2415
230,572242,2488
231,549861,2380
232,555249,2393
233,582016,2497
234,574070,2453
235,574457,2444
236,568622,2409
237,566910,2392
238,564201,2370
239,584483,2445
240,576507,2402
241,593029,2460
242,570241,2356
243,612717,2521
244,598551,2453
245,741038,3024
246,592726,2409
247,588058,2380
248,617699,2490
249,735233,2952
250,602341,2409
251,600069,2390
252,608513,2414
253,627132,2478
254,606700,2388
255,638902,2505
256,613962,2398
257,620432,2414
258,766361,2970
259,623255,2406
260,648777,2495
261,835877,3202
262,622311,2375
263,641140,2437
264,705747,2673
265,653768,2467
266,652454,2452
267,660654,2474
268,648830,2421
269,642998,2390
270,746852,2766
271,656719,2423
272,676237,2486
273,737236,2700
274,670291,2446
275,656515,2387
276,759037,2750
277,688201,2484
278,693026,2492
279,717795,2572
280,672805,2402
281,682266,2427
282,697696,2474
283,674978,2385
284,680318,2395
285,750300,2632
286,690887,2415
287,689264,2401
288,728364,2529
289,707859,2449
290,707980,2441
291,729014,2505
292,714466,2446
293,766120,2614
294,767920,2611
295,713855,2419
296,728452,2460
297,918321,3091
298,740259,2484
299,706892,2364
300,788459,2628
301,697214,2316
302,723579,2395
303,791186,2611
304,761062,2503
305,743131,2436
306,809474,2645
307,725939,2364
308,757253,2458
309,802435,2596
310,713371,2301
311,755025,2427
312,837011,2682
313,747576,2388
314,758861,2416
315,817133,2594
316,1042287,3298
317,780720,2462
318,780476,2454
319,775404,2430
320,893016,2790
321,780531,2431
322,795091,2469
323,786502,2434
324,780311,2408
325,791661,2435
326,802089,2460
327,849488,2597
328,786452,2397
329,754654,2293
330,839005,2542
331,804651,2430
332,786552,2369
333,791071,2375
334,819729,2454
335,814537,2431
336,805381,2396
337,797902,2367
338,855199,2530
339,814314,2402
340,826459,2430
341,821486,2409
342,884113,2585
343,820623,2392
344,832337,2419
345,839175,2432
346,855369,2472
347,840276,2421
348,836047,2402
349,911854,2612
350,819734,2342
351,863629,2460
352,843222,2395
353,859156,2433
354,833997,2355
355,840521,2367
356,979256,2750
357,863496,2418
358,841358,2350
359,866945,2414
360,867764,2410
361,862969,2390
362,896129,2475
363,882145,2430
364,872728,2397
365,873788,2393
366,894523,2444
367,887997,2419
368,905747,2461
369,904828,2452
370,879733,2377
371,876478,2362
372,897599,2412
373,914695,2452
374,949753,2539
375,901277,2403
376,899299,2391
377,899180,2385
378,923348,2442
379,951507,2510
380,896721,2359
381,913741,2398
382,945584,2475
383,929022,2425
384,902196,2349
385,1021731,2653
386,916200,2373
387,923823,2387
388,940207,2423
389,932510,2397
390,941621,2414
391,1004383,2568
392,997584,2544
393,955801,2432
394,927370,2353
395,932530,2360
396,929103,2346
397,969434,2441
398,977682,2456
399,1057652,2650
400,947112,2367
401,947492,2362
402,975021,2425
403,972924,2414
404,1004039,2485
405,1002310,2474
406,1082220,2665
407,943828,2318
408,1000453,2452
409,984458,2406
410,955860,2331
411,999763,2432
412,998272,2422
413,992642,2403
414,969265,2341
415,995717,2399
416,1018208,2447
417,1025366,2458
418,1016480,2431
419,1020016,2434
420,997500,2375
421,1021969,2427
422,1029744,2440
423,1067513,2523
424,1021439,2409
425,1056336,2485
426,1033221,2425
427,1029365,2410
428,1009994,2359
429,1010241,2354
430,1166686,2713
431,1050919,2438
432,1038071,2402
433,1097150,2533
434,1065095,2454
435,1067993,2455
436,1055346,2420
437,1092897,2500
438,1078344,2461
439,1063817,2423
440,1055055,2397
441,1070278,2426
442,1071378,2423
443,1227083,2769
444,1064478,2397
445,1118486,2513
446,1079310,2419
447,1054484,2359
448,1094262,2442
449,1095200,2439
450,1134751,2521
451,1123302,2490
452,1064489,2355
453,1214419,2680
454,1093292,2408
455,1125109,2472
456,1129187,2476
457,1144394,2504
458,1108187,2419
459,1127890,2457
460,1119832,2434
461,1135944,2464
462,1141456,2470
463,1155541,2495
464,1130671,2436
465,1160055,2494
466,1192457,2558
467,1133222,2426
468,1129461,2413
469,1157986,2469
470,1136472,2418
471,1165098,2473
472,1136158,2407
473,1187882,2511
474,1155701,2438
475,1154836,2431
476,1302089,2735
477,1169113,2450
478,1143092,2391
479,1177539,2458
480,1169545,2436
481,1170945,2434
482,1139521,2364
483,1163554,2409
484,1153504,2383
485,1158007,2387
486,1202030,2473
487,1185010,2433
488,1205692,2470
489,1200249,2454
490,1190619,2429
491,1175160,2393
492,1371041,2786
493,1201085,2436
494,1200816,2430
495,1178537,2380
496,1239246,2498
497,1207165,2428
498,1177207,2363
499,1191671,2388
500,1214125,2428
501,1204701,2404
502,1229359,2448
503,1231566,2448
504,1216162,2413
505,1227128,2429
506,1237097,2444
507,1263292,2491
508,1369370,2695
509,1253508,2462
510,1231367,2414
511,1232630,2412
512,1262574,2465
513,1233086,2403
514,1237372,2407
515,1272095,2470
516,1312895,2544
517,1261149,2439
518,1285120,2480
519,1273778,2454
520,1294035,2488
521,1256359,2411
522,1235290,2366
523,1288889,2464
524,1288916,2459
525,1284225,2446
526,1282247,2437
527,1274099,2417
528,1309096,2479
529,1289679,2437
530,1281400,2417
531,1282094,2414
532,2008885,3776
533,1279875,2401
534,1283772,2404
535,1311514,2451
536,1302105,2429
537,1290663,2403
538,1292134,2401
539,1291302,2395
540,1289881,2388
541,1297415,2398
542,1322418,2439
543,1333657,2456
544,1318344,2423
545,1299415,2384
546,1350044,2472
547,1341590,2452
548,1341115,2447
549,1314856,2395
550,1305410,2373
551,1338157,2428
552,1323874,2398
553,1299637,2350
554,1347079,2431
555,1338537,2411
556,1348938,2426
557,1410373,2532
558,1325177,2374
559,1345514,2407
560,1361724,2431
561,1363109,2429
562,1396855,2485
563,1372196,2437
564,1362581,2415
565,1376625,2436
566,1363834,2409
567,1419899,2504
568,1362105,2398
569,1369363,2406
570,1354639,2376
571,1395224,2443
572,1368613,2392
573,1400476,2444
574,1356788,2363
575,1400269,2435
576,1406562,2441
577,1369930,2374
578,1390479,2405
579,1367092,2361
580,1398659,2411
581,1417112,2439
582,1402214,2409
583,1415848,2428
584,1422150,2435
585,1441419,2463
586,1400097,2389
587,1432411,2440
588,1430014,2431
589,1439470,2443
590,1437908,2437
591,1394262,2359
592,1409563,2381
593,1470264,2479
594,1428645,2405
595,1554810,2613
596,1423049,2387
597,1462358,2449
598,1438940,2406
599,1461434,2439
600,1443232,2405
601,1449209,2411
602,1431073,2377
603,1471473,2440
604,1463296,2422
605,1485779,2455
606,1501391,2477
607,1478964,2436
608,1472581,2422
609,1488001,2443
610,1502975,2463
611,1444318,2363
612,1473558,2407
613,1493266,2435
614,1450408,2362
615,1492190,2426
616,1513081,2456
617,1493471,2420
618,1501212,2429
619,1487539,2403
620,1487557,2399
621,1537840,2476
622,1603711,2578
623,1523929,2446
624,1511517,2422
625,1593665,2549
626,1569361,2506
627,1505614,2401
628,1510220,2404
629,1587582,2523
630,1527950,2425
631,1521404,2411
632,1534930,2428
633,1532079,2420
634,1531888,2416
635,1522200,2397
636,1537860,2418
637,1538165,2414
638,1540562,2414
639,1559330,2440
640,1578210,2465
641,1555958,2427
642,1595047,2484
643,1565363,2434
644,1578445,2451
645,1623307,2516
646,1591314,2463
647,1571517,2428
648,1594808,2461
649,1625937,2505
650,1565096,2407
651,1592559,2446
652,1561724,2395
653,1572308,2407
654,1577211,2411
655,1593477,2432
656,1564097,2384
657,1580714,2405
658,1592268,2419
659,1582311,2401
660,1595459,2417
661,1602432,2424
662,1621497,2449
663,1635873,2467
664,1618624,2437
665,1641358,2468
666,1590351,2387
667,1588583,2381
668,1622577,2429
669,1641849,2454
670,1611896,2405
671,1727629,2574
672,1659939,2470
673,1629541,2421
674,1661104,2464
675,1637053,2425
676,1870192,2766
677,1636943,2417
678,1673201,2467
679,1670004,2459
680,1613797,2373
681,1666146,2446
682,1651555,2421
683,1645329,2408
684,1632261,2386
685,1666160,2432
686,1652696,2409
687,1682965,2449
688,1680919,2443
689,1673063,2428
690,1846087,2675
691,1713462,2479
692,1649811,2384
693,1688393,2436
694,1674714,2413
695,1696698,2441
696,1723187,2475
697,1695294,2432
698,1680372,2407
699,1653308,2365
700,1697906,2425
701,1935941,2761
702,1731133,2466
703,1712680,2436
704,1788792,2540
705,1726391,2448
706,1681596,2381
707,1721509,2434
708,1715434,2422
709,1740310,2454
710,1719557,2421
711,1760617,2476
712,1844446,2590
713,1741617,2442
714,1783855,2498
715,1731901,2422
716,1803057,2518
717,2044595,2851
718,1728998,2408
719,1744620,2426
720,1742648,2420
721,1742732,2417
722,1842992,2552
723,1724187,2384
724,1770866,2445
725,1739865,2399
726,1769816,2437
727,1751508,2409
728,1745721,2397
729,1777156,2437
730,1870211,2561
731,1814787,2482
732,1771106,2419
733,1825365,2490
734,1794001,2444
735,1799857,2448
736,1763233,2395
737,1755469,2381
738,1892205,2563
739,1785936,2416
740,1765696,2386
741,1810873,2443
742,1795182,2419
743,1797969,2419
744,1818776,2444
745,1821311,2444
746,1907745,2557
747,1837262,2459
748,1841423,2461
749,1844814,2463
750,1861870,2482
751,1826307,2431
752,1796199,2388
753,1831418,2432
754,1956646,2595
755,1869572,2476
756,1842538,2437
757,1863827,2462
758,1844041,2432
759,2000923,2636
760,1832388,2411
761,1853785,2435
762,1846311,2422
763,1847445,2421
764,1865566,2441
765,1865976,2439
766,1876149,2449
767,1954980,2548
768,1839752,2395
769,1850724,2406
770,1896219,2462
771,1880678,2439
772,2056287,2663
773,1864667,2412
774,1863467,2407
775,1913489,2469
776,1900471,2449
777,1923885,2476
778,1871783,2405
779,1876202,2408
780,1886944,2419
781,1902555,2436
782,1941342,2482
783,1886441,2409
784,1908263,2434
785,1856325,2364
786,1919027,2441
787,1946362,2473
788,1896190,2406
789,1906307,2416
790,1924699,2436
791,1919528,2426
792,1947761,2459
793,1908038,2406
794,1960291,2468
795,2086381,2624
796,1907714,2396
797,1910432,2397
798,1947344,2440
799,1911448,2392
800,2005853,2507
801,1890201,2359
802,1976307,2464
803,1945997,2423
804,1997127,2483
805,1952411,2425
806,1974378,2449
807,1958445,2426
808,2021326,2501
809,1925218,2379
810,2159263,2665
811,1966123,2424
812,1939156,2388
813,1982763,2438
814,2033153,2497
815,2227174,2732
816,2056806,2520
817,1975479,2417
818,2012543,2460
819,1949763,2380
820,2087335,2545
821,2025330,2466
822,2049570,2493
823,1957069,2377
824,1972867,2394
825,2108174,2555
826,2127678,2575
827,1996837,2414
828,2033930,2456
829,1984090,2393
830,2083263,2509
831,2002596,2409
832,2006856,2412
833,2028262,2434
834,2071291,2483
835,2130318,2551
836,2163602,2588
837,2026867,2421
838,2089801,2493
839,2005405,2390
840,2313928,2754
841,2246615,2671
842,2145240,2547
843,2028898,2406
844,2100658,2488
845,2074669,2455
846,2108797,2492
847,2081022,2456
848,2150081,2535
849,2076944,2446
850,2128715,2504
851,2047183,2405
852,2143240,2515
853,2090508,2450
854,2115260,2476
855,2066620,2417
856,2123375,2480
857,2084645,2432
858,2136538,2490
859,2056930,2394
860,2138616,2486
861,2079968,2415
862,2320425,2691
863,2085579,2416
864,2136312,2472
865,2092875,2419
866,2141608,2472
867,2290226,2641
868,2150439,2477
869,2109843,2427
870,2165323,2488
871,2144329,2461
872,2293938,2630
